term,x,y
copd,1.0619648,0.20654002
sah,-0.74648964,-0.44169044
hypothyroidism,3.30622,-3.5555685
hap,-3.2026217,0.010615479
htn,0.004875287,-0.3540857
cva,-0.86610156,-0.21788643
myopathy,1.7888287,0.4350951
se,-1.5335757,1.2980487
lsh,-0.43179667,-0.45103118
h1n1,-0.3640232,0.12669443
diabetic,1.839703,-4.69828
melena,6.3768477,4.172875
ileu,-1.0152267,-0.7033783
abces,2.848196,-1.0300983
fever,5.411823,3.703731
ss,-2.2903275,1.1818521
acromegaly,3.4531198,-3.4107745
cm,-1.386272,-3.0490553
uti,-0.49852732,-0.49347335
cancer,-1.6197706,-5.3099117
anoxic,-0.27698934,-2.5182285
vap,-3.461368,0.40933236
dyspnea,4.5427575,5.126581
palsy,2.0622878,0.75156516
tumor,-1.6420197,-4.610129
pvd,-3.5718908,-0.023166653
hd,-2.0537472,-2.1123168
uip,-0.49411157,-0.4105877
sbo,-1.9742329,-0.22251792
ard,-2.3855186,-0.14828919
psychiatric,-0.7813023,3.6478815
sob,-1.631866,-0.38289467
de-conditioning,1.2212201,0.7044252
pancreatitis,5.593193,-1.5393478
hypertension,1.8169981,-4.1964445
nsr,-3.357518,-0.8117972
gerd,0.61032635,-0.27117527
hypercarbic,1.8296582,1.7826419
endocarditis,0.5568992,6.392895
vomit,4.711749,3.2564697
syncope,2.8218973,3.9573698
af,-2.8837016,-2.488334
spina,1.1276741,-1.1076022
gvhd,-0.12907596,-0.021463975
headache,4.544783,4.364571
crf,0.36508614,-0.7520725
hypotensive,2.098266,3.0522861
edema,3.4625654,1.4362922
arthritis,2.2146752,-2.1978202
asperger,0.7132308,-0.1398368
obesity,1.2803901,-4.2634325
cough,4.5359664,5.2259
transaminitis,5.5570793,2.7132893
dm2,-2.6438208,-1.5300992
ncm,-0.6917758,-0.36840063
barotrauma,4.1358047,1.1045374
dm1,-2.4104292,-1.1149508
nausea,5.8274574,4.673483
aid,0.2744943,-1.2208918
stridor,4.2219844,5.5181136
stroke,-0.14272025,1.4414549
hiccough,3.8920245,3.091105
esbl,-1.2271645,-0.24592571
ich,-3.4412284,-1.606094
emphysema,3.6563423,1.1200988
hyperkalemic,1.7212595,1.7163253
hypoadrenalism,3.380426,-3.4607143
adenocarcinoma,-1.7129083,-5.3205366
pcp,-2.6413739,-0.010278326
enema,1.9912903,-0.883836
hypertensive,2.1096606,-4.596141
pe,-3.5081565,-2.805289
cmv,-1.9048108,0.43442988
pyelonephritis,5.662912,-1.5210342
herpes,-3.3866692,3.5243542
cml,-1.114432,-2.2550507
chill,0.56952614,1.1434808
tbm,-0.80568886,-0.33705035
depression,-0.7076917,3.6436808
ovarian,-1.9266987,-5.440848
rigor,0.95561075,-1.7006946
agitation,0.5547102,1.9981154
seizure,-0.5606275,2.5281794
alcoholism,-0.80073464,3.342788
bleeding,3.0966098,0.10964996
erythema,3.5882907,2.380946
pressor,2.0309088,2.9636486
cardiogenic,-1.6339538,6.2559595
pneumomediastinum,4.8631067,0.77247465
afib,0.074182145,-0.20082515
insufficiency,2.2301052,-3.1392758
pd,-3.635851,-2.8509917
confusion,0.44308427,2.3660417
pancolitis,4.0030103,-1.614469
apnea,3.1708727,4.99045
am,0.57296467,-2.689706
vomiting,5.8726707,4.5287523
pain,4.2877126,4.188714
febrile,5.450815,3.4207258
osa,-4.5584855,-0.4738441
alzheimer,1.1977773,-0.59665704
gout,2.1427524,-2.126106
fistula,4.033326,-0.29209247
gib,-0.97388315,-0.3145215
scc,-0.38099587,-3.3286498
illnes,0.27515638,0.21874508
encephalitis,-3.260862,3.4643118
orthostatic,2.6972754,3.895957
tachypnea,4.2541184,5.460676
wheezing,4.5452003,5.5614033
6174,-1.1339219,-1.5154191
cardiomyopathy,2.0530074,0.10643809
fracture,-0.2811564,0.9310906
itp,-1.6105717,-1.271925
appeared,-1.0571266,0.69194376
sepsi,-0.60752773,-1.0646
melanoma,-1.6664935,-4.9154453
cellulitis,1.1870201,5.837198
pvc,-3.4003947,0.78855604
pneumonia,0.7835177,6.129121
nsclc,-1.238834,-5.404863
coma,0.7191034,3.3890538
meningitis,0.75714403,6.1395993
klebsiella,-4.8686953,2.3186746
pre,0.37332377,-1.9890163
ra,-2.5094993,-3.0462143
sinusitis,1.9406797,6.1365294
infection,-2.8868296,2.7648945
anger,-1.191043,4.2349386
hypothyroid,3.131665,-4.0886855
septic,-1.6439396,6.1988287
myalgia,5.3232784,4.580104
dvt,0.08912136,0.020787576
cad,-4.129233,0.3353134
pneumothorax,4.6623645,0.73973066
overdose,-0.80336916,1.7818379
cholangitis,5.8134975,-1.6296079
varice,2.6761305,-0.77056444
alf,-2.3699942,-0.9470255
diarrhea,5.5268145,3.7041068
anxiety,-0.9505999,3.9792273
ulcer,-1.8726015,2.399634
all,-0.98581463,0.57597387
shock,-1.7845467,6.0690174
cmo,-1.687291,-1.0740343
gangrene,1.2906923,5.15431
fatigue,4.109649,4.1582146
diabetes,1.583142,-4.519187
dehydration,0.71077794,1.4792229
hematoma,4.546843,0.30890396
acinetobacter,-4.856275,2.3150275
encephalopathy,0.81381696,3.3996425
chf,0.015703969,-1.536191
hypotension,2.613206,3.70419
diverticulitis,5.2040176,-1.4559023
al,-0.6326308,-1.9301851
re-intubate,-0.079893515,-0.123449236
delirium,-0.20885526,3.4107077
arf,-4.250579,-0.5097022
watery,6.1260066,3.7011328
