term,x,y
copd,-3.5493608,-3.9239264
nose,-4.407702,-2.7108653
bronchospasm,1.1135105,-1.794925
stenosi,-5.6915812,-4.2782145
hypothyroidism,-1.6191399,-5.9350815
trauma,-5.7281356,-1.5451392
clubbing,-0.7902474,-4.6108303
depressed,-3.074292,-6.3994536
aneurysm,-7.1049976,-0.97971874
murmur,-1.562506,1.6723435
defib,-4.7355733,-3.6917312
htn,-4.641836,-4.5625777
cva,-5.603737,-4.49922
melena,5.150861,-3.4439662
dyspneic,1.6758296,0.24310574
hit,-7.3353662,-3.3192024
infarct,-3.9533515,0.32127833
vpd,-5.215005,-4.368901
asystolic,-0.53040516,0.4518873
rosc,-5.199317,-4.617192
fever,2.9021952,-4.882061
thromboembolic,-5.315077,0.48900422
thyromegaly,-1.0607915,-5.006175
goiter,-1.3794614,-5.936308
hallucination,-1.5132246,-8.373679
cancer,-4.5406976,-6.294661
dysrhythmia,-1.3431693,-0.022722319
dyspnea,3.2322521,-2.048068
hd,-7.474239,-4.013424
pvd,-7.3054624,-6.5105658
rash,4.2498903,-5.072395
allergy,-1.0686786,4.1478796
cardiomegaly,-1.605796,1.7062776
ard,-6.887639,-5.5886
psychiatric,-1.4307268,-9.842323
sob,-6.6191554,-4.986788
vitiligo,-2.5890589,-4.7736554
hypertension,-4.5582457,-9.392216
nsr,-6.668158,-6.513151
gerd,-4.3870573,-4.336788
angina,-3.0524485,0.7851779
endocarditis,-8.622973,-0.10472644
syncope,-0.35300472,-0.54783225
af,-8.796438,-4.556437
ac,-8.367798,-8.1013
arrhythmia,-1.4212744,0.047691334
normocephalic,-3.8217325,-2.463587
coagulopathic,-5.7165647,1.2436658
headache,2.9888206,-3.5873451
lethargy,4.169575,-3.618623
crf,-4.196166,-4.9499083
underfilling,-3.1241345,-3.1155617
hypotensive,-1.6527795,-2.6119728
edema,-6.3623376,-0.2027877
e/o,-5.0584464,-3.2439775
musculoskeletal,1.0262773,-3.9628568
arthritis,-2.3634505,-4.9180703
well-compensated,-3.4666936,-4.90895
cough,2.7503784,-2.1311345
