term,x,y
platelt,-21.157667,-0.5765419
dextrin,-8.055198,-41.005028
antibotic,19.719404,36.008995
you,-43.281734,-4.4940934
thinned,-59.971886,-11.968749
aoc,-31.602688,20.731983
capecetabine,40.338512,24.064356
cbg,-26.155403,14.728781
cysplatin,46.67025,24.174334
cpm,-0.78608876,40.707676
do,-41.472435,-3.8160992
danazol,41.108078,5.9278183
61603,9.438223,-25.765142
xtl,-37.788433,27.688566
clonazepan,25.138754,-26.928358
coffee-,11.559537,-19.05996
spearate,-18.346645,0.29037747
cod-liver,-6.8154798,-45.493084
lml,-46.28027,4.2137113
ara,-37.694035,43.1492
serol,-7.4355145,-10.266388
pm1,-48.627167,5.730736
keppra,29.16364,-24.005976
angiojet,-45.90717,-22.275415
iprotropium,7.164695,2.692445
glycopyrrolate,30.212065,-50.263985
62719,5.9131975,-20.283266
taht,-1.8720468,-14.680792
hydralazine/isosorbide,43.612213,-27.956656
add,-26.14762,-1.3712114
gastrititis,-29.019573,-23.35264
miminal,-16.524231,4.3513217
technetium,-41.77111,-42.686493
lanolin,13.953962,26.411432
macroadenoma,-23.258621,-24.125153
-mg,-28.740782,22.460932
meth,3.1070542,-57.315067
finish,-40.039944,-6.074254
glargin,15.476508,-5.6992793
short-interval,-42.743526,-15.604044
bran,-5.313595,-44.95798
mist,-19.479815,-51.30894
ropinirol,23.792313,-26.572535
intraconazole,23.826069,49.380817
primary,-21.706562,-14.298518
vancomycin/aztreonam,20.728458,15.780127
atu,-42.512962,36.42032
ciproheptadine,12.874249,-22.946974
angio,-45.429253,-39.321728
trace,-10.69612,15.133033
abciximab,41.299187,-18.979677
12r,-46.85492,3.1529539
40/5,55.38389,-3.9849558
brb,-39.304806,37.68232
ixabepilone,56.694435,30.370913
cis-platinum,58.322693,27.485228
phenylpyruvate,-0.6790301,15.744096
naphthalene,-4.0414248,30.796669
acetylcysteine,37.525078,-17.806448
betaxolol,65.13788,-10.902547
palivizumab,26.144964,34.030884
menigitis,-30.66871,-25.720469
carb,8.303058,7.847748
metanephrin,-11.190653,-24.119736
recommendation,-27.18879,-10.165202
droopy,-45.998585,-18.40441
promethium,-9.407069,19.777416
angiotensin,0.26143932,-33.545547
acamprosate,38.888004,-51.13945
full-strength,5.3859158,29.73672
chlor-trimeton,27.04531,-15.801171
slow-onset,6.7077947,-28.26382
bioglue,-51.046795,-18.604824
fluid-secretion,-19.027723,-0.43278763
probenecide,10.258886,3.963919
integrelin,38.436348,-14.814449
ocp,-39.66566,15.270695
max,-53.583057,19.449993
7k,-17.806665,27.280172
-cocaine,8.915471,-45.71798
cefpodoxime,23.555767,64.873764
/70,4.473172,27.377657
half-brother,-46.762863,-5.808682
autonomic/neuroendocrine,-19.161388,-0.45918894
adderall,-16.442055,-20.402433
experince,-32.21802,-11.0680685
cisplatinum,58.774406,27.517132
hashish,1.3995534,-58.548515
hairline,-53.0549,-26.271896
dehydrate,5.375401,22.174696
lll,39.204693,27.461226
psh,-41.893517,30.233051
cephelexin,15.121876,42.40959
56592,15.656867,53.33506
supplement-,-11.138733,-17.916918
xeroform,-49.556355,-16.653183
30,-9.952885,57.913147
carvidilol,10.2106085,-11.98333
cephalotaxine,-11.331651,29.11052
cylcophosphamide,39.686947,21.15462
td,-21.07351,25.202337
paraprotein,-17.493057,42.672726
anti-d,-18.34407,39.19733
synergi,-17.72375,16.279678
m/o,-19.53976,29.753942
photofrin,43.231083,27.643229
lincocin,19.787638,33.63616
atorvastatin,51.110966,-11.531712
reduced/,-6.908725,6.0817256
flagyl,22.328737,47.999683
corticosteriod,40.22177,13.732224
carbachol,23.100542,-42.339203
niceritrol,48.99163,-9.511077
98/69,-1.3902904,1.8406148
2x/week,50.49176,6.7303386
co-ingestant,-12.59196,-1.6577759
beta-hydroxybuturate,-9.850657,-28.95522
tt4,-42.81513,29.08095
anti-gp,-19.800367,39.117252
restent,-64.76321,2.1904473
olanzepine,32.7819,-30.158815
scotch,-50.68262,-15.054745
up,-27.284548,2.3078096
post-angiogram,-34.18452,5.723284
chlorine,-4.861477,25.316454
2am,-17.590998,-41.70172
ab-negative,-20.019117,44.263535
prounounced,-9.692337,-1.4534451
sinvastatin,24.390356,-2.2032883
addended,-29.836864,3.2954488
beginnning,-1.2604376,-8.293189
risperdone,3.4854863,-9.308939
30365,1.7891114,-14.83367
pressence,-5.374305,11.23049
11o,-17.39547,25.813326
colchinine,-9.542274,-11.854413
-alendronate,6.146823,-44.599216
hf,-51.29284,12.269511
bfa,-31.057043,24.819784
supratherapeutic,40.01925,-7.406045
foscarnet,35.064453,47.341843
occ,-55.091644,22.966986
ckit,-24.960642,32.99566
fluid/tissue,-22.024185,-19.375921
faxed,-35.580463,-5.461809
cytarabine,58.258076,26.329176
160/25,54.27549,-2.7817557
tetrahydrozoline,26.499521,-39.451374
postherpetic,-35.294155,-33.338947
trimethobenzamide,31.344849,-36.284904
pheniprazine,26.723942,-32.845974
treatment-dose,37.17426,-13.849636
bmh,-39.5095,29.483414
av,-54.051258,10.002684
lacate,-1.9079942,16.881304
paroxetine,41.546604,-49.57156
amiodaron,43.482975,-29.706383
cephalexin,22.629498,65.49771
admission-,-30.345512,-9.593087
meclozine,31.26647,-34.435665
prlonged,5.1008053,-11.987614
mg/6,57.295547,4.6575823
malcompliance,-5.511237,-11.953849
pu,-63.51338,2.1561153
use-,8.078657,-30.951607
triopathy,-21.705383,-27.95552
off,-38.636433,0.5400708
busulfan,57.67468,25.526619
hav,-38.59388,-4.2072797
telbivudine,40.59034,46.258205
pik,-61.32581,18.971205
cerruloplasmin,-10.348374,-20.296764
dofetilide,45.90127,-32.780647
recent,-26.304445,-10.470066
