term,x,y
mycoplasma,-49.18324,5.216327
stab-wound,8.485626,-13.364498
fibromyalgia,18.654453,57.069946
lymphangitic,42.357548,-21.647884
toxicum,38.960293,28.444502
autoimmune,22.055296,2.7808876
stocking/glove,-22.256136,-11.217806
antibotic,-19.65884,1.6115426
tracheomegaly,13.633007,-27.611301
hepatomegaly,27.8855,20.629183
cryptorchism,49.11198,-11.3825655
parasellar,17.891045,-44.27373
fatigue/lethargy,15.275227,34.104362
t2dm,-17.309254,9.919649
echo-dense,5.660474,-32.942066
780.39,-23.247156,-1.3930552
55bpm,-14.837429,0.007965325
gastro-duodenitis,-4.1784563,-11.783564
asd-,-51.345306,-10.830431
sepsis-,3.751211,6.9839396
poly-neuropathy,26.597418,12.487874
hypovolemic,-10.062706,24.47707
lown,-24.14106,-6.5542555
add,-21.604338,-30.909428
gastrititis,-15.788862,-10.356379
temps,-59.045742,21.904352
bilateraly,-14.761898,-16.709864
sensitiviy,-17.850758,-0.8495529
myopathy,26.265799,14.210745
couplet,-28.438692,-15.738616
macroadenoma,10.994244,-46.70143
hyphema,40.267445,13.766721
meth,-28.69077,34.547813
grandmal,-6.3481927,42.369392
post-inflammatory,42.06588,25.072943
short-interval,3.555166,39.914574
hyperechogenicity,4.949959,-35.188084
vte,6.036856,-3.837778
pyocystitis,-0.5044599,-18.013529
schwanomma,14.376762,-45.175926
elastofibroma,20.871256,-50.163532
unruptured,18.789284,-14.937761
epileptic,-7.887296,44.712074
chorioangioma,35.090763,-24.616795
lip,55.819736,14.719642
infarcation,8.238081,18.886545
fallot,18.298433,-18.978958
hypoestrogenic,15.803084,17.127548
antibiotic-associated,36.509792,-36.553272
lyphadenopathy,0.79217964,-7.709453
pressumed,-5.308441,-2.7459242
organizm,-25.462711,-7.69895
polymicrobial,-55.775738,9.3572
hypersympathetic,-10.559966,19.570173
feeding,-28.201387,2.5878482
defense,-41.528145,1.9590082
adenoid,20.814962,-52.268623
malrotation,25.334553,-30.269709
av-block,-2.7213464,29.289232
trochanteric,67.16634,-0.9214901
menigitis,29.815367,-5.8681045
phlegmon,36.859074,-14.197592
headeache,2.1637673,31.442572
self-harm,-29.27924,40.162613
hcm,-19.806967,-7.2473927
neurodeficit,12.397151,36.362995
ptc,-52.97757,-23.722252
hyperintensity,39.851902,-43.66366
cellulite,15.664637,31.206495
nonketotic,-17.01317,16.756096
menstural,-7.1701875,-21.363615
pel,-57.91314,-11.958058
pigmentosa,42.136692,15.870218
haze,37.46719,18.294224
gastritis/esophagitis,-12.514113,-8.024731
statu,-35.94689,-13.232217
arrthythmia,-15.547306,-0.7334879
diskitis,40.107513,-10.83887
inflamm,-23.703356,-11.334952
secretion,-20.253433,-17.718388
sensation,15.443807,47.365475
sweat,-6.0479736,-19.01244
hyperthryoid,-18.109617,-6.6131425
myeloproliferative,15.942273,7.951624
endophalmitis,-6.2462325,-6.3097124
brachioplasty,4.773237,-25.290245
neuroblastoma,5.729821,-51.61985
torso,20.154182,27.396336
inprove,-16.000578,-19.463734
psoratic,5.3596563,1.6797749
pan-sinusitis,30.341925,-15.352799
dysethesia,11.165634,39.4004
cystocele,44.322296,-31.61538
vomiting,24.867691,51.168278
lymphangitis,42.216133,-13.854137
leukoencephalopathy,34.88659,9.1978245
dizzines,-0.31022528,18.578293
prev,-33.454414,-24.976158
ten,-25.2358,-12.730152
thromboembotic,-13.641405,-6.115552
anti-b,-25.778996,-16.849491
dehiscence,23.77403,-25.17194
haemorrhage,28.29245,-19.925112
blepharoplasty,52.425426,18.60589
early-coupled,-14.52692,4.098851
cranio,54.440014,9.242081
cephalohematoma,32.554825,-18.234621
psh,-50.21394,-18.225075
nonwitnessed,-15.13918,1.3402885
epidydimitis,30.128187,-12.304927
hepatit,-40.31108,14.126273
td,-36.186584,-29.599524
absess,21.742016,-10.388129
cmt,-53.87336,-12.054388
dieulafoy,22.177269,-33.34381
dysphoric,-26.417208,45.310345
odd,-26.070993,-11.153226
ard,-50.733593,-15.295659
hypernephroma,14.182455,-49.877113
gas-forming,33.526688,-13.355708
prevotella,-51.129406,1.8477721
parasthesia,17.349697,48.550488
gammopathy,27.574932,7.2287116
therapy-related,15.127288,9.133946
asplenism,19.210573,3.6512394
third-spacing,0.24322765,-7.5632496
physeal,65.817986,-1.1953002
svd,-38.900333,-22.70565
up,-25.528738,-4.5260806
cia,-51.915073,-11.294484
esophagoscopy,16.234816,-38.4993
postanoxic,-10.612233,37.071384
arrythmia,2.4989643,58.653057
encepholopathy,-16.851566,-1.9275981
angiectasia,12.555749,-17.12551
ammenorrhea,-10.077684,-5.969981
transplant-,-4.4119253,-3.8555133
sialadenitis,34.394478,5.0657835
chelitis,39.585285,26.185701
dvt,-1.4442736,-7.001563
glucagonoma,10.527555,-49.448208
myelolipoma,12.007043,-49.086823
enteroenteric,22.249798,-28.610807
spermatocele,31.737047,-27.621733
head-shaking,3.468288,43.006485
postherpetic,22.830103,56.74103
lge,-43.490578,-16.891918
unremarkable,30.374527,31.067572
pfeiffer,-0.79398096,0.1444856
glioma,5.8971243,-51.63229
witnessed,-26.685822,26.865595
torsed,4.9466147,-22.589314
non-dilated,18.133558,-21.371336
varicella,-45.778965,16.584322
angine,-5.29283,17.137455
dandy-walker,-0.23844421,-0.8288609
non-oliguric,-17.747,23.817392
hypokinetic,7.647899,23.559452
broncho-spasm,-19.25467,2.5862188
electrographically,-6.5813923,41.606113
pseudomona,-20.480974,-8.0023575
arrhythmia,2.319616,58.782005
uc,-36.888992,-24.596983
polyuric,-17.423958,22.746767
coccus,-53.972946,5.2819395
triopathy,-12.52227,12.249562
unprovoked,-7.4471254,48.105446
distension,26.140404,33.737724
facedown,-4.5345435,-20.350658
discoordinated,7.1206827,34.058567
vulvar,12.102173,-38.887085
hav,-29.10319,-5.4127493
bronchodilator-responsive,4.2615204,10.541629
asystolic,3.220428,57.40972
non-aneurysmal,20.11198,-17.465654
pvt,-36.706413,-9.641681
bloodshot,27.343266,30.020363
chest-pain,3.4771085,30.576334
ganglioma,14.336265,-45.02629
angina,6.9665494,21.554478
cea,-52.883286,-15.766219
pvc,-52.94539,-14.625284
neuropathy/myopathy,-16.579216,-5.1781397
parapharyngeal,19.447002,-42.781296
xi,-41.955204,-29.062443
heptatitis,-40.81383,14.208846
endothelialitis,28.594147,2.4331548
osteochondroma,19.16157,-52.886364
spm,-44.63092,-5.236882
encrusted,5.265406,-27.834644
however,-18.019789,-11.38296
obstructive/restrictive,-7.936542,7.550362
petechia,40.24161,31.104343
multi-organ,19.987051,1.3322911
underperfusion,12.837153,-8.715923
ncm,-30.194078,-14.576315
consolable,-3.4324665,19.801178
crp,-59.12086,-14.732246
homosexual,-28.602087,31.023176
primay,-9.644427,-22.833893
cadiomyopathy,-10.346841,9.186877
pneumothorax/pneumomediastinum,2.1759973,-10.944925
robaxin,-23.031492,-6.24025
abortion,-15.1828785,-35.27266
arthitis,6.8972716,1.0307062
thyroidectomy,3.2759345,-26.192745
thrombolic,15.289178,-7.440277
trauma/,-13.328144,-5.365107
heel-to-shin,3.3807678,40.133
balanitis,44.60065,-1.4055185
arrhytmia,-0.23259968,28.766308
epicondylitis,59.38432,-6.7343616
sss,-48.263042,-20.520355
non-passage,-1.2967687,-12.653821
appetite/weight,-21.14484,37.837254
hyperviscosity,16.890562,3.6812904
myocarditis/cardiomyopathy,2.6359248,-2.901971
nsr,-52.121834,-18.740562
grimaced,-32.139553,24.839514
coxiella,-47.350277,8.316239
microhyphema,36.225426,13.25799
mid-ear,-41.273994,9.484018
bleeding-,5.269965,-5.0578675
leukocytoclastic,31.396353,5.0495563
defecation,22.024206,34.903812
dactylitis,56.195976,-5.5731587
mal-nutrition,-3.6645925,2.5456603
papulomacular,8.351836,6.5222564
qrs,-39.15395,-27.80711
hasbeen,-27.929737,-7.1323504
hamate,67.76557,0.59337115
rpl,-55.202084,-14.785778
raynaud,23.187025,6.0885878
cholitis,3.1986725,-2.9881945
frequency/urgency,22.615097,33.02948
stenosi,-37.35025,-9.200675
superinfected,-41.80971,16.567167
non-bloody,32.511772,45.165607
non-q,7.659504,19.371313
attack,6.3479066,18.781061
ischemia/infarction,9.816837,18.82985
subgaleal,33.0221,-21.367392
screaming,8.711194,49.593327
apneac,-22.255789,-9.079523
speech/language,-18.367147,39.24672
atrophy,24.018692,19.888931
enterouterine,20.77337,-26.332052
co-morbidity,-21.779205,42.42238
depressed,-22.984987,37.30592
taco,-36.439907,6.9047055
leukoclastic,28.759634,1.3673351
nonalcoholic,-6.443909,8.388686
perirenal,34.396145,-27.122995
arthropathy,56.07991,-4.579245
myoclonic,-6.3149543,46.05858
tah,-46.858467,-15.9524
mesenteritis,26.12932,-46.59508
sclera,-4.609205,-26.983894
malperfusion,17.149977,-13.245711
pneumocystic,26.05221,-4.3608494
brachycephaly,51.040943,10.919527
resi,-26.645145,-9.4682455
hypersensitivity-type,8.7013,10.600903
