term,x,y
near-syncope,33.351234,4.310634
traumatic,11.8346615,-9.972155
pid,-26.107317,-9.935032
murmur,7.2809997,23.288736
corneal,-11.445008,-25.764204
secretion,-5.121573,-5.327506
hit,-23.957685,7.9302874
ct,-19.377499,-12.605411
iron-deficiency,3.313544,1.8725666
pantoea,-18.719622,-2.645418
rosc,-14.22613,0.5483684
anaphylactic,13.720147,-2.6034408
cm,-28.120916,20.743053
hallucination,12.3728075,9.15424
adeno,-8.06752,-16.210575
appendectomy,29.7527,-20.318924
malabsoption,-6.4824176,-3.826511
hypertension,-2.7239985,8.76471
soma,-14.866049,-5.038344
hypothroidism,-0.069459334,-5.432008
opacified,-6.88487,18.619364
pnx,-14.444834,-0.9718115
rigidity,24.985643,17.782066
bronchiolitis,19.751057,-24.472525
gvhd,-9.005667,0.5724607
cardiovascular,-2.4757235,6.9384313
down,-12.953348,-2.1313984
t-wave,-4.7087893,10.622569
tremor,17.388086,5.7703643
non-purulent,19.443325,-17.13102
foe,-23.407528,5.0523953
dm1,-30.728695,-9.132231
mastoiditis,19.285095,-21.684696
over-sedation,0.34863567,4.8338175
hemothorax,14.602051,-15.951389
vaso-vagal,34.104137,3.9985917
malnutrition,3.3327074,1.47329
hyperparathyroidism,-2.6580272,-9.932058
flutter,6.0305123,29.709038
atrophy,7.2960653,2.3273337
astrocytoma,-21.025305,10.67847
hcv,-10.397635,-13.386664
resi,-16.641653,-8.061717
fainting,31.570093,4.2550335
h/o,18.430658,1.832751
angiomyolipoma,-21.49971,17.173515
shake,-16.328312,0.9411061
bipolar,4.082642,17.142597
thrombocytopenic,-12.0979805,29.252237
chornic,3.6218045,-1.9536852
penumonitis,2.548806,-1.972341
pedi,-9.161899,-3.782527
pre,-10.197328,-2.2713904
fasciculation,-7.418579,24.025562
lymhoma,-15.628047,7.951439
stemi,-12.133422,-0.6847711
convulsion,12.12449,11.960466
pleuritis,17.815378,-17.459904
non-oliguric,17.189472,29.28269
neoplastic,-19.855352,12.585691
euvolemic,17.268103,24.82097
cpap,-2.2547395,3.8109689
overdose,-14.154678,19.943914
somnolent,17.77762,12.803684
alveolitis,15.511366,-12.462252
flashback,6.4229393,11.5863
dm,-16.797813,-11.762832
nosebleed,20.508713,3.8433495
hl,-29.003256,-9.88961
sinu,-27.295828,-5.140158
melena,28.859709,-5.2239323
atheroma,-3.0141718,-13.45212
non-fermenter,-28.765787,5.4327955
linezolid-induced,5.975889,0.9864686
diverticular,7.5158787,-25.368263
pseudoseizure,8.8951435,10.178378
somnolence,29.972807,0.67492115
necrotic,-4.520723,16.606062
cushing,7.1722445,-2.855777
cystitis,15.734746,-28.351257
dermatitis,16.184244,-3.858886
leukoencephalopathy,8.593376,2.2851524
tachycardia/,-0.49645126,6.712922
congestion,18.61877,-10.333323
hypertrophy,0.97714454,7.4189796
acut,4.0685086,-1.49349
referred,-6.111917,3.3709574
pnuemothorax,3.9783738,-5.44795
hypersecretion,-4.9499574,-5.6869073
ach,-16.19203,-4.5319366
parainfluenza,-7.8271165,-17.460413
organomegaly,25.979225,-12.165045
bronchitis,21.746634,-23.160374
presyncope,33.52948,5.0786657
depression,5.864813,15.268446
paresthesia,25.406847,1.798095
rigor,-16.05012,23.410053
ib,-25.155264,-13.160519
esophageal,-13.860638,15.113559
dehisced,2.6383977,-18.887684
pulm,-12.13203,-8.70714
deficit,0.80298203,9.473151
lymphadenopathy,25.930801,-14.601566
axi,-27.16316,-10.455329
non-healing,1.438262,-27.80069
itp,-17.80966,-4.026943
melanoma,-19.341116,10.93423
ra,-22.266087,-11.103725
fluctuance,19.55225,-7.307597
shivering,23.062057,9.874618
cerebritis,15.35363,-22.090914
hyperintensity,-4.0765057,20.721895
wa,-22.672283,-8.181219
icteric,-0.35478404,-15.883367
hypoactive,2.6410723,11.116816
w/,-20.565178,-8.103327
hodgkin,-16.213995,8.873598
sore,30.487011,7.4772477
prostate,-16.68326,13.212746
neurotoxic,-12.159513,9.869624
constipation,25.57458,-1.1647036
myasthenic,0.43891644,-7.078509
arf,-33.734264,-5.4483857
gram+,-29.022602,6.293489
decortication,-4.9608455,13.343278
tg,-32.233955,-10.84387
cva,-23.207254,-3.9346282
pointe,-31.524931,14.421649
hhh,-18.353281,-9.642243
snoring,25.463835,13.971275
hydropneumothorax,15.470832,-15.838864
csm,-30.670938,-2.8856673
unsymptomatic,-6.03091,0.95743567
torso,1.7673287,-5.456558
ard,-31.617247,-3.7038553
ga,-27.610733,-12.442823
fibroid,-24.577873,15.634611
hypoxemic,21.068096,15.660365
d/o,-16.021166,0.21220288
anmd,-17.89035,-1.1249506
hiccup,22.274845,6.4788823
complaint,23.783903,3.4851408
diasylate,-10.611631,0.06184678
irritation,34.09865,-1.5621481
distention,4.0724998,-24.242525
originaly,-17.327246,-1.7821869
blister,-8.51486,7.0970454
hyper/hypotension,10.609717,5.0466886
doa,-17.173916,-5.456601
ischemia/infarct,-3.8551018,19.455364
gastroenteritis,25.151722,-4.285494
