term,x,y
1x/month,9.891987,-18.755955
-cardiac,17.64461,30.301754
2+/,-1.7056044,-14.895417
concent,7.9576535,-0.25638703
7cm,-60.85808,-7.000359
terribly,-49.985397,31.506544
2-9,28.630255,-50.352013
children/,-31.209623,21.417412
erithromycin,46.42213,-31.976477
msg,-19.355566,-42.043148
continue,-51.1102,13.507198
cleocin,47.73109,-32.942493
defibrilation,-2.2122724,5.4133177
100/4,-1.2491952,-36.466553
rescreened,-23.107708,-18.282505
eposide,56.0949,-7.337969
21.7-,-2.7696247,-32.16199
retrial,36.322536,16.127413
f-,-9.69916,-51.341133
guard,-41.838375,2.9312744
hurt,-51.917706,30.61651
np0,-7.663614,-44.274323
pateint,-3.12462,32.125076
thin,-33.22814,-11.804572
bupivicane,26.94601,-6.019546
chest-ray,-7.359806,9.197264
pseudo-ephedrine,35.48832,-8.394657
gooey,-28.470959,30.1635
temozolomide,62.512722,-5.6404266
ocm,-29.198948,-33.037785
swith,0.36387506,20.650824
monopril,29.818937,5.3573284
minimal,1.4413346,-9.172958
aspirin/,8.51508,-14.513727
ped,-23.316643,-14.79743
thicked,-40.909748,-10.313775
shoulder/arm,-24.472042,52.744404
gda,-23.98557,-16.179438
32/2,-7.4829817,-37.821228
pcp,-21.516209,-43.049637
750mg,51.05249,-9.134997
4ppm,16.745432,-23.913078
albumin/,15.988048,-35.407974
tepid,19.43126,40.961983
atrovent,48.20007,4.8604016
worker,-34.937122,17.655628
8ml,28.330595,-26.019041
ycin,-0.10585804,1.6454492
ointment,63.29066,4.4544435
overall,-14.111664,12.063862
rack,-30.335073,38.575447
nbp,-14.9828205,-41.666996
culminating,-5.869722,11.855672
chb,-29.76599,-42.77748
b/h,-10.08215,-35.98208
scrt,-34.90913,-35.32264
peakflow,18.515675,30.61268
gesture,-52.825977,24.96535
25mg,53.532547,-13.942312
manage,-50.034184,15.63462
gabapentine,41.754658,16.12475
depo-provera,33.649117,1.784692
amoxicillin-,48.559845,-38.224487
ibu,35.34026,-10.451315
resperidone,37.697,14.548021
whimper,-39.460255,30.271908
cared,-44.58267,12.538016
tollerated,-17.979393,11.630744
unusal,-0.05261989,39.05852
cueing,-53.102757,24.371746
maitain,-3.990951,4.637033
tapered,-20.888323,29.334684
involoved,-23.000937,-21.389893
time/dose,16.171492,6.062561
