term,x,y
obstuction,-5.8360233,1.3218899
p/g,-20.858662,-7.4422274
attention-seeking,-4.476037,-36.625
glyoblastoma,-17.759983,15.5516615
herpex,-26.209307,23.121918
multisystemic,7.538973,34.94345
horseshoe,16.259914,13.283632
ccf,-43.344795,-1.3031888
hypertensive,-8.226107,24.637428
atropy,10.115387,2.8798509
dic,-22.293507,31.36339
pan-sensitive,-45.56133,13.239121
chorioamnioitis,-10.747102,32.047306
enl,-40.396263,-4.7993245
portacath,12.780394,-19.047838
strip-,-17.795555,-14.915376
insulin-requiring,-9.461865,22.422842
pneumo-hemothorax,13.142497,4.3133235
appareance,2.6785638,-6.0649614
cardium,-26.976147,3.8449128
roo,-46.416573,0.08574334
dislocating,15.962942,-24.151667
confusion,4.9618444,-30.546751
cr,-36.300945,-15.311397
tic,3.2710867,-37.436337
hyper/hypo,-20.908176,1.9245522
discoloured,42.644657,-4.975023
head/spinal,1.1257168,4.7933373
vaculitis,18.008783,33.26159
post-craniotomy,29.99411,-19.098616
otitis,33.98393,35.201817
veteran,-1.1478945,-33.26912
atherosclerotic,15.384329,21.218494
bruisability,47.000256,-6.544773
tbc,0.6334954,21.037968
anamoly,8.93434,3.7719991
neoplastic,-4.093832,44.678738
endurance,-31.226545,37.977154
oxybutynin,-31.22732,15.713164
vge,-32.454014,-2.7242768
diarrhea,46.463356,-16.813951
fungemic,2.0484617,16.219072
s/e,-29.127497,20.05308
pulm,15.630265,-4.5289235
hyperactivity,3.8935263,-33.70521
trival,-5.1894274,-2.3781586
hernial,38.273685,15.484152
pneumocystitis,1.7441032,21.77257
swelling,40.545807,0.8091952
ataxic,24.615545,-28.590454
vs,-30.188898,-12.885611
varicocoele,17.867268,15.447839
lissencephaly,47.45506,18.388512
coarcation,12.649471,11.189592
surgeon,15.131478,0.1099345
anp,-40.119408,-18.246786
sa,-31.39387,-32.880753
muscle,19.79941,-23.204433
hypovolemic,15.188715,47.68148
uti,-23.534595,-15.3225355
aches/pain,-1.0159283,-9.951013
trunkal,21.301615,-26.572989
flat/depressed,-10.729173,9.413482
grunting,40.498013,-15.838776
anxiety/irritability,7.475879,-9.70989
pe,-42.78338,-21.108116
epiglotitis,0.25380683,19.553282
over-dose,-6.2496247,16.36744
mist,-28.467745,8.590487
oozing,31.693733,18.717531
tensive,6.0923305,-3.4448025
oic,-34.35627,-4.872554
cholestatic,3.7325556,26.24102
