term,x,y
events-,-11.652776,-20.774529
arimidex,35.759663,15.43195
solitaire,-56.251717,1.2112997
sorafenib,37.748756,28.3127
signs-,-9.354576,5.699771
lotion,18.824127,22.739458
gsh,-31.542942,17.737514
be,-17.15509,6.014159
50cc,-7.688456,-15.222027
phenylepherine,14.857656,-16.125843
octrotide,4.305027,6.5187926
pristine,-24.832428,-4.349027
sat-,-22.4099,11.162478
fob,-36.905582,-25.00056
4am,-27.583141,-1.7177783
20mmol,-22.887291,-1.3561761
flox,-19.714798,26.992653
dz,-46.466995,15.48312
campath,30.940214,21.00997
.also,-35.937405,-29.082287
wnl,-37.119965,10.225857
angio,-20.55529,-24.795946
neurospine,-13.608197,-5.297107
cmo,-25.760672,20.020718
both,-8.138057,10.825505
ketorol,14.5053835,3.0634804
visite,-55.772858,2.586564
hepatin,-12.076962,8.715809
haprin,-20.494904,18.289776
oob,-31.721405,10.07421
medrol,32.58303,16.480959
50x2,-21.529259,-3.9368348
imodium,12.715905,-3.1217904
rij,-49.751842,15.65061
truly,-15.202713,-6.081205
vf,-44.914528,13.30092
pravachol,13.821731,-2.4016426
cerruloplasmin,-11.167183,8.325297
1000mg,41.340427,6.7423472
laryngoscopy,-16.40719,-38.81302
sodium-,4.2938347,-20.697905
danazol,36.68052,12.53516
cocaine,24.566809,-38.97486
adenosine,17.645452,-25.931692
fu,-40.820213,17.807339
chocolate,-1.7096984,-47.420517
hydroxycholoroquine,26.472057,13.3459835
off,-15.6846695,-10.580619
mineral,-19.724747,-7.1711326
cyproheptadine,40.704834,-24.73906
antifungal,3.0900586,36.653946
acid,7.433938,-29.004623
mcg/kg/min,31.191736,-34.33574
ivpb,16.872902,6.3470464
mycafungin,-14.658941,12.689677
crit,-38.67692,5.2746825
restarted,22.437984,16.196552
100/50,35.68662,1.6717718
diazapam,18.965498,-17.249418
glycopyrolate,26.943697,-22.61622
neostigmine,36.65535,-24.502514
cararact,-16.251297,-18.70598
stae,-13.366923,2.142336
mirtazipine,19.064825,-9.402145
green/black,-13.73924,13.952992
mt,-34.33139,40.802227
vus,-56.952244,1.587695
brb,-29.19518,29.466604
adition,2.284667,12.47261
tadalafil,52.409615,-5.0477605
gliburide,11.887983,0.47020102
gabapentin,49.092987,-29.104898
supertherapeutic,1.9513118,3.9850519
troponin-t,-1.0144717,-7.282679
gancylovir,-6.428756,2.2720494
refusing,-31.635412,-37.47284
50-140,-37.395786,-2.6587675
billirubin,-3.7484968,-36.899574
every-other,12.46777,6.165513
mec,-29.943766,37.498367
tum,-22.327963,18.236994
amp,2.2787347,24.294334
q3d,29.368473,7.343241
glargine,54.380474,6.7961335
7605,20.24935,-7.7927704
prostrate,-2.1470995,13.462592
non-fluoroquinolone,6.1927743,30.477207
protonix,-7.0482993,-1.8283037
unspec,-11.887169,-0.29948694
glu,-28.309378,14.923056
"6,7,8",-25.622553,7.4258623
-120,-45.51201,-15.60322
9l,-27.41094,5.0017586
tof,-30.875055,22.39788
basline,-10.814495,-7.243942
flagyl,13.736161,34.520203
carbamazepine,51.78571,-28.756094
tepid,-8.770855,-38.480736
proscar,15.766392,0.72134936
lev,-31.925686,27.514452
narcotic-,-3.2678778,2.51455
po-,-25.696817,14.731944
vap,-31.306768,33.272297
wrap,-23.6422,-18.185503
occassional,-12.705928,-14.217289
gbp,27.169125,4.1459255
w/5,-24.44345,-1.7590052
nl,15.395366,13.582661
glyburide,52.58455,4.5834265
ciproflox,8.197618,20.21294
asystolic,-15.324815,-31.627407
gesture,-38.150692,-24.848879
determine,-16.099758,45.50739
a/,-44.459915,16.367546
bpg,-36.764698,12.701974
lmb,-30.590614,34.683353
crossmatched,-15.003255,-14.610765
10113,3.5850363,17.916061
bilevel,-12.871383,-28.587103
pontocaine,25.127735,-25.649536
occ,-42.14492,17.314693
beeen,-9.218187,8.175252
sorb,-6.577277,-21.503368
skin/,-16.799124,-16.139154
gel,-2.1951983,-16.974377
q.a.m,11.884928,1.699999
dissolve,-6.128748,-14.03554
phenelzine,45.54601,-29.168165
i.,-9.609875,91.92973
trop,-58.808395,0.9932655
escitalopram,45.978592,-31.01328
tri-split,-28.914927,20.461868
proned,-12.181085,-15.055015
pnd,8.465247,10.1321745
w.,27.961111,6.7395415
papaverine,34.39226,-21.090384
hartmann,-16.92472,2.3072472
dav,-40.645557,9.948991
bein,-38.090286,-21.620533
dsypnea,-19.087614,-29.954023
dca,-46.443302,3.019544
pressor,31.92933,-23.532843
eplerenone,54.109344,-7.369682
200/300,32.673824,4.520092
30mg/day,36.750195,6.3240767
oxaliplatin,41.92221,29.74636
dipyridamole,44.72403,-7.554329
small/moderate,-12.382884,-8.590574
propfol,3.5983396,-0.07237475
dementia/delirium,-7.141712,-2.4416475
cbn,-23.582016,20.030317
~10min,-19.888647,-3.4717464
fludrocortisone,45.974663,2.833723
down,-15.712981,-10.545111
smoke,22.534838,-41.80072
oxazepam,41.9873,-28.560556
300/10,28.824474,3.8010724
clotrimazole,16.466217,36.95926
sulfonamide,15.161622,26.402819
fentanyl/bupivacaine,24.106775,-25.401865
arc,-29.954351,-7.2007256
vaginoplasty,-23.283962,-20.630062
hydrazaline,12.300952,-14.032915
carbidopa,46.909,-25.872662
oxycodone,38.620823,-30.724548
x3/week,21.425074,6.705124
chemo/radiation,32.057625,26.824677
a/f,-32.3404,6.2458453
linezolid,7.8343887,45.321823
good/adequate,-10.636344,-1.6742438
om,-41.538273,18.578472
haloperidol,46.39621,-28.452257
-repeat,-30.191761,18.11175
cyanocobalamin,9.558854,-40.283047
afe,-0.8869648,-0.5898072
marcaine,27.708649,-28.39758
cr,-36.189987,18.065598
reopro,25.685368,-22.054657
w/,-39.265408,12.618732
tu,-53.734478,7.187064
lip/chin,-27.558865,-11.034857
iodine-iodine,-23.165873,5.9307623
3pm,-26.135525,-38.932983
320/18,24.973696,2.9322307
amio,6.1310005,-28.762888
pantoprazole,43.401352,-13.184573
guiac,-13.02795,-15.946754
octeotide,0.45794234,1.2146957
cmv,-16.486317,19.708256
pca,-32.57195,31.218924
ropinerole,21.874823,-9.259091
ir,-18.680244,23.919905
12.5mg,40.486355,7.148061
11974,15.023204,-14.830943
59-,-20.346807,8.845574
5fu,36.06904,23.855387
pain/,-19.907381,-30.464697
olanzapine,47.760303,-30.122353
lm,-44.43284,10.874558
defibrotide,43.35633,-5.109307
narcan,21.034773,-14.419349
arabic,0.27901286,-48.8881
initialy,-18.219036,1.5994396
8-9,-49.12868,-9.772503
radiation/chemotherapy,31.61575,26.634031
succinylcholine,33.345528,-30.42714
wla,-18.612272,13.528764
pac,-25.56782,34.028053
cefazoline,11.157971,39.102093
ma,-52.770683,1.699529
cidofovir,23.779737,29.284653
use,10.008984,12.35097
sero,-5.2492585,22.234524
baf,6.750365,-13.656288
uric,-1.1121851,-36.511333
occassionaly,-16.802258,-12.644822
telithromycin,12.239259,44.09766
pentamidine,14.361432,32.944794
duloxetine,46.415665,-31.231989
10036,21.302158,11.55841
hgld,-10.245787,1.1988828
intermitently,-6.7520423,0.45694065
capsofungin,10.861984,24.862131
suboxone,31.513529,-11.004844
flax,-18.229053,-10.83154
ceftriaxione,6.139299,20.258245
dressed,-31.896564,-22.563505
aracytin,33.833866,22.397469
ambisome,11.9347725,24.903187
dilantin,27.846582,-9.600251
levetiracetam,50.652313,-29.308863
oxygen,-7.743285,-25.109911
midline,-36.98132,-13.5132
amont,-56.56288,1.6988794
h/r,-9.341778,-22.60982
hydralazine,52.21474,-11.86186
ondasetron,30.063667,-18.80697
dme,-38.5222,21.936676
co2,-24.844126,2.851735
cholestorol,-11.78323,6.7151227
sent,-13.031365,-10.628022
ob,-22.507847,21.760803
mpa,-23.854248,28.266472
/mg,1.2157676,-12.613091
