term,x,y
hlp,-19.84373,-19.417908
melanoma,-24.83802,-6.9078164
paresthesia,20.139244,16.865162
acromegaly,6.674838,1.5068843
tarry,18.247993,20.489775
varicella,-11.739979,-2.38732
distention,-18.564318,13.382743
adenoma,-29.288557,-5.719441
hypotension,18.761612,5.134103
wnl,1.7485148,-15.833991
depressed,13.480879,-12.039228
sp,-14.294962,-12.564224
cmo,-7.7553835,-17.833683
ain,-0.19669358,-21.658365
barrett,-20.009531,4.776994
thirst,14.3501005,-17.692797
oopherectomy,0.01030099,33.000805
tive,0.41747278,-5.517396
fever,15.5935755,20.237764
ascite,-10.952293,-8.89711
dyspneic,23.35934,-1.9086186
vf,-1.701112,-26.591372
endocarditis,-5.626007,23.051247
moraxella,-14.804066,-10.10906
microcytic,8.230716,7.4805098
gerd,-2.6547287,0.7647729
al,-0.3556831,-15.91714
vertigo,24.622444,9.34967
plexopathy,7.401699,18.397417
hemangioblastoma,-26.92542,-2.0180807
hyperparathyroid,8.332298,1.6357965
raynaud,1.0194753,3.6233575
burn,4.954483,15.432609
his,6.4500055,-17.762362
rosc,-3.194631,-10.860966
gsw,0.25242773,-12.880398
dwarfism,3.1053238,3.9477832
bronchospasm,23.751648,12.235948
obstruction,-18.946283,12.215029
erosion,-6.9780574,3.6929379
iss,-18.672781,-17.567163
tachypnic,22.01505,-3.6616464
ild,-0.7973953,-8.286503
ventriculitis,-4.5365963,23.54902
hyperthyroidism,6.009378,2.0829039
non-bleeding,-15.001846,13.583649
asd,-16.456823,-17.727058
psychotic,19.859716,-13.604549
gastritis,-17.007843,18.189007
hemiplegic,26.369612,1.1260115
hyponatremic,14.497764,-1.8532364
swelling,16.324558,26.04063
diahrrea,-1.1258395,-7.015569
dm2,-9.965079,-26.940367
appetite,14.350319,-17.699955
granuloma,-2.3971138,7.7305202
sepsi,-2.1409118,-13.774425
tooth,-6.7869067,2.9036572
diverticulitis,-14.179271,20.741259
mini-stroke,4.454829,-9.9761505
abdominoplasty,-17.503822,3.5938172
allergic,19.200644,10.11252
melenic,-1.0651437,-3.3173826
sepsis/,-0.6474522,-1.3408903
coughing,25.036623,14.586673
paf,-4.362221,-10.898574
cardiomegaly,10.428993,26.652035
gb,-3.9602137,-25.263004
seizure,25.209831,-10.6745405
hypoperfusion,0.3165386,14.3951235
