term,x,y
silibinin,-4.816655,2.050228
anidulafungin,7.454826,3.4457903
tramadol,-5.5240793,-6.9141345
na,-2.5633874,8.447248
ng,0.6758067,6.4862
acetazolamide,-1.5582311,-6.7188087
bactrim,5.7931805,1.2024461
low-dose,2.9000785,-0.44604793
nitroglycerin,-1.3334032,-8.422912
alpha-blockade,0.74237406,1.4201841
blue,-6.8023825,5.3073134
beta-blocker,1.5652859,-6.3951354
dihydropyridine,0.8724753,-10.930056
lll,0.07315012,5.206577
q2h,-1.9136871,1.8479469
qam,-2.298118,2.0480332
citrate,-9.82502,4.5159383
tg,-4.679157,4.5375385
lansoprazole,4.848892,-4.0368977
asparagine,-1.0458609,9.978337
haldol,-2.921804,0.24963106
dilantin,-2.1284988,-2.706924
benztropine,-5.318797,-4.3617597
diazepam,-5.416829,-5.647481
once-daily,4.862697,-2.96343
dantrolene,-0.6755403,-9.919973
furosemide,-1.0260433,-6.6076865
fentanyl/propofol,-1.7542589,2.7137265
discontinue,-4.990557,0.542225
chemo,-0.84685606,4.0087295
amiodarone,0.4352617,-5.680429
gancyclovir,4.312824,3.7500641
ccb,-3.385552,5.085211
qid,7.7316403,-4.580379
foscarnet,4.4056726,3.651076
clopidogrel,2.2068408,-4.6247272
dextromethorphan,-4.6283374,-5.2611175
dilaudid,-3.0554605,-0.034705505
azithromycin,6.609998,0.8333098
1/2n,-3.176935,5.6990523
amlodipine,1.6020018,-8.111188
ganciclovir,4.3714566,3.685859
pattern1,-3.6230981,5.1232667
warfarin,1.8327497,-4.723386
pramoxine,-2.063248,-0.23834388
hd,-6.0871515,7.7814717
argatroban,3.889763,6.999958
11974,-4.0986037,2.7113535
amidarone,-1.9766462,3.872481
nicardipine,-0.3153431,-9.229615
cr,-3.170027,6.8124533
aspartate,-0.9754399,10.057092
fosphenytoin,-2.4365969,-4.43305
tylenol,-2.0729914,0.82081264
q4h,0.087232105,-1.2330403
renally,2.2545493,2.0481124
creatine,-0.44068664,8.289254
meropenem,-7.6322374,0.055835348
doses/day,-0.5120295,-1.2341006
q48h,-0.29549748,-0.7239858
ketamine,-7.4246335,-7.39523
atazanavir,5.728447,-1.7478101
substance,-0.6074652,3.1781845
benzo,-1.9375056,6.7358785
potassium,-9.820352,3.5155265
fentanyl,-6.860994,-7.9260464
nephotoxicity,-2.3250787,4.106325
fishoil,-2.7676015,4.4356637
levofloxacin,7.1957483,1.6000218
plavix,-0.23502725,0.30203575
q6h,8.230935,-4.452361
vasopressin,1.1081749,3.1404543
ranitidine,4.537654,-4.679945
mesna,2.5354574,-1.7176377
dexmedetomidine,-7.149867,-7.7785673
bivalirudin,3.9762263,7.042385
daptomycin,7.762311,1.7678386
soln,-6.72425,3.8197303
famotidine,4.510871,-4.6837845
phenylephrine,-2.5773373,-9.254311
zyprexa,-3.1874416,2.139043
mcg/day,0.7706231,-2.7502775
ca,-2.485305,8.028922
creatinine,1.273302,8.450392
phospholipid,-4.8322086,9.626003
clonidine-like,-4.3267064,-0.44032604
metronidazole,6.583929,0.8288586
statin,2.0809226,-5.640277
chlorhexidine,-1.6022526,-0.13541646
piperacillin-tazobactam,-7.7539487,0.06285079
pho,-4.899479,5.5112963
levorphanol,-6.6082487,-5.4838943
quetiapine,-6.4703016,-2.7007048
redose,-1.734311,1.2564934
equianalgesic,-4.9896307,-8.187406
latanoprost,3.799676,-8.318562
high-dose,2.9523587,-0.5413786
vanco,-3.5947313,3.130909
rosuvastatin,3.0634086,-6.402039
phenytoin,-2.3211675,-4.2704606
peep,-5.14929,3.281231
neosynephrine,-0.9674301,0.9548902
q12h,8.240729,-4.477168
ps,-5.733627,4.4075093
rle,-2.8224823,4.8249063
naltrexone,-5.713346,-4.426693
adenosine,-0.8491326,4.6678805
cholecystokinin,-9.026014,-2.9430633
proglumide,-8.705654,-3.5272434
captoril,-2.50819,3.0215824
toradol,-2.1774094,2.9667714
digoxin,-0.31103736,-5.1666737
bioprosthetic,-7.622193,6.786739
cck,-4.111132,5.2203236
cisatracurium,-7.3159657,-8.822325
lasix,-1.3842549,-6.072588
clonidine,-6.085702,-6.1411233
tobramycin,-6.778133,-0.16999924
pe,-4.2706685,7.313689
benzodiazepine,-5.022856,-3.3928928
cefipime,5.431549,1.5370488
seroquel,-4.6505947,-1.7392608
ep,-3.9160104,7.5340066
dag,-4.3848557,3.9080236
nonanalgesic,-3.8578172,-2.8015058
heparin,3.4540446,6.7997103
alcohol,-4.026091,1.4906958
vancomycin,7.7311735,1.3851508
olanzapine,-6.427288,-2.7527783
aspirin,2.1207752,-4.6431823
cefepime,8.41554,1.4490421
mcg/ml,-6.2436013,1.4949392
