term,x,y
desloratadine,53.361855,-6.893849
arimidex,37.996834,14.861312
double-dosed,11.743376,-1.757091
signs-,-17.971308,6.3259654
lotion,32.763348,9.189373
gsh,-35.49484,22.381548
octrotide,1.3647288,-3.1288087
pristine,-27.348505,2.5860338
gentimicin,-0.105485514,22.164677
4am,-38.601032,-8.292538
flox,-30.455904,25.262589
campath,24.653639,18.347023
cmo,-32.250843,21.739256
dronabinol,42.09492,-31.823277
hepatin,-10.52923,-18.169287
nortriptylline,15.807169,3.2214158
symptoms,-27.079317,-28.907198
magoh,-27.371492,22.790081
imodium,21.629894,-7.135602
rij,-56.15258,12.663416
pack-year,15.121285,-46.014282
vf,-50.389507,9.426865
pravachol,2.6017635,-12.139439
cerruloplasmin,-16.632513,1.2440509
ng/kg/min,30.726273,-43.78308
pgt,-38.01903,17.228094
neoepinephrine,10.263907,-19.723278
teriparatide,41.18992,11.442974
laryngoscopy,17.903961,-6.041556
sodium-,-0.6968429,-25.370903
danazol,38.15454,11.463613
adenosine,15.052103,-28.280914
hist,-51.97562,1.3217835
pft,-32.224724,7.6279488
chocolate,4.5196095,-49.673584
hydroxycholoroquine,23.61448,12.800808
off,-28.344439,-6.599897
cyproheptadine,38.251442,-32.182407
tamoxiphen,-6.0064535,5.4118433
mcg/kg/min,30.707884,-43.621502
ivpb,-5.5993104,-17.807463
mycafungin,-17.300623,5.1134605
mild,-24.850916,-24.294086
glycopyrolate,20.609602,-0.9703563
reviously,-14.826965,1.2592309
mirtazipine,17.572756,-16.09137
gliburide,7.8003187,-0.12736294
gabapentin,44.118793,-37.497128
cortisol-,6.371292,-32.080975
supertherapeutic,4.3881946,4.68583
gancylovir,-12.287086,-0.26670235
midine,-4.1317835,-12.86394
hydroxycloroquine,21.759134,17.074652
mec,-42.408867,33.80212
tum,-33.015503,19.119793
alochol,-14.814971,0.4152473
alcohol/cocaine,-6.74765,-9.298258
significanly,-7.701712,5.002516
40/18,-13.710735,-2.6144638
protonix,-11.530421,-3.4399004
unspec,-16.302725,-1.289501
tof,-33.80715,21.946419
basline,-15.159961,-13.1368685
carbamazepine,46.55063,-39.2511
