term,x,y
swelling/pain,-1.1067544,35.441723
3hr,18.338966,-8.4477215
open-mouth,-32.45378,14.970591
41930,20.212986,-22.008167
rifaximin,45.083366,-13.53008
lumbosarcal,-15.342212,14.441298
tamoxifin,4.358818,-1.9984937
vain,-22.58057,2.0626018
gadolinium-based,16.654287,35.16425
caspo,-18.96241,-4.7855554
63480,22.160604,-18.45445
vicariously,-19.828997,3.6476262
1600h,16.359905,-4.0115457
iac,-17.135603,-35.323147
low-thoracic,-27.89368,24.8325
lymphangitic,-8.210241,35.565613
placement,-23.063904,17.994902
fibromellar,4.436704,19.54825
teen,-23.059282,6.8406787
carotidartery,-19.287561,24.145111
stability/,-4.910331,-0.6224318
antibotic,33.37288,-8.277048
you,-24.984459,-0.14324294
aoc,-13.715729,-27.514654
cbg,-7.054096,-12.421398
dip,-12.265004,-10.190839
lmp,-18.216764,-32.02263
intra-ventricular,-12.010124,25.908009
am,-26.14177,-0.20394821
small-medium,-38.4522,-2.7704568
cpm,-5.7445045,-25.26082
do,-15.375022,-1.0306621
nimodipine,48.147854,8.238792
unusal,-3.0951297,26.875784
33343,3.0982554,-28.025047
61603,22.855799,-25.341366
tonight,-25.582466,0.7724507
spearate,-2.2737093,-6.0202484
persistently,0.9933088,5.509569
lml,-28.18762,-13.697451
ara,-13.639537,-40.054283
nile,2.0794537,-28.439379
pos,-26.073153,-20.266102
pic,-38.995556,-17.378616
tauma,-8.381391,11.921913
keppra,33.385387,-0.007834195
ventriculostomy,-23.063334,33.35292
glycopyrrolate,49.82983,1.4050282
lipiodol,20.023226,9.291314
metstatic,2.442613,19.487812
rifampin,47.25565,-13.444304
post-assault,-23.169914,6.6683216
62719,22.698242,-26.399523
93/26,20.258156,-3.4065752
33589,23.562223,-29.317396
staple,-23.226007,20.168242
taht,2.842687,-6.9304414
micafungin,44.955975,-11.188336
t.i.d.,53.717796,10.45669
prepatellar,-40.394714,26.198235
asbestos-exposure,-6.6668224,1.6808174
add,-10.659078,-0.49632767
apparant,3.6046565,-5.145696
