term,x,y
hemoretroperitoneum,3.6337767,-9.857315
tracheomegaly,19.645992,-4.160613
hepatomegaly,26.573439,32.383774
parasellar,9.836364,-40.411102
pic,-44.762043,-3.2057629
track,-25.78444,-14.690165
scl,-54.0221,-4.727051
myleoma,-10.14418,-38.06585
hypovolemic,0.3328689,21.585655
add,-26.042217,-18.193338
temporozygomatic,1.75471,-7.8807983
myopathy,13.37236,22.814867
macroadenoma,-19.70818,-39.84415
post-inflammatory,24.585865,38.84327
short-interval,-10.041727,24.62328
vte,-13.03004,9.066068
ahd,-11.385881,-20.494398
unruptured,18.262278,-22.998005
epileptic,-16.95538,44.11528
infarcation,-4.059197,-17.599712
turmor,-17.522364,-9.720282
lyphadenopathy,0.0031971904,1.4823853
polymicrobial,-38.943897,23.18364
similar-appearing,4.0068874,-35.4778
av-block,-14.678913,23.654892
trochanteric,60.25998,-19.625422
menigitis,33.660675,14.96586
phlegmon,37.038864,7.5514593
2.2x1.7,-19.769775,-17.330545
hcm,-21.98585,-3.3606026
hyperintensity,10.557632,-35.42536
cellulite,-9.942188,26.84217
menstural,-14.827395,-14.175311
haze,-0.16683155,-28.720646
gastritis/esophagitis,-16.566916,12.514775
diskitis,41.01721,15.138945
inflamm,-25.097677,-4.03855
secretion,-19.898859,-13.568002
sweat,-6.757399,14.629483
myeloproliferative,7.5175753,24.534622
cranium,33.21104,-36.85382
pan-sinusitis,23.711597,7.2591066
lymphangitis,36.0252,26.867294
leukoencephalopathy,17.91596,23.23365
dehiscence,25.253096,-12.225172
haemorrhage,26.376205,1.2317097
cephalohematoma,21.92586,-1.9811541
psh,-52.204212,-0.7167033
hepatit,-20.92122,8.787227
absess,9.554722,-1.1068509
cmt,-54.06918,7.0636153
dieulafoy,30.876793,-8.152278
colicy,-11.965887,4.212522
gas-forming,31.690292,10.306328
parasthesia,11.143399,41.396076
osteomalacic,-20.151703,-31.552746
up,-26.211731,-13.056105
tracheo-innominate,21.092274,-19.99184
ileo-colonic,31.23195,-14.639591
sialadenitis,23.626263,17.945257
immunocompromise,-19.0086,19.888937
ileo-anal,31.245863,-17.169104
enteroenteric,31.291578,-13.484146
glioma,-7.2190595,-44.404507
witnessed,-14.307239,22.0242
torsed,16.24864,-28.9991
av,-47.129864,-12.147554
varicella,-30.827034,24.818832
dandy-walker,10.823713,16.993668
non-progressive,16.857061,20.12888
uc,-44.349915,-12.281086
triopathy,-26.944479,-27.41996
coccus,-39.34352,16.473555
hav,-24.822403,4.7871113
non-aneurysmal,17.04642,-21.663628
cea,-53.96856,4.177781
neuropathy/myopathy,-20.410378,-1.4508327
parapharyngeal,17.381912,-35.777985
osteochondroma,10.459358,-52.92486
polycystic,-26.601267,-41.889942
nonatelectatic,8.982963,0.33656824
tracheoinnominate,21.043558,-19.971146
ccj,-20.659506,-17.435472
cadiomyopathy,-10.348077,10.254919
arthitis,-3.9022276,3.578738
shoulder-neck,6.1958113,39.015465
pulsion,33.05205,-10.935485
myocarditis/cardiomyopathy,-0.32315847,7.5289726
pneumo-peritoneum,17.972683,-5.8486733
normal-caliber,20.330713,-16.66262
peripartum,-20.450478,-24.272005
bleeding-,-3.723016,1.0242742
leukocytoclastic,26.625484,21.35603
pre-radiation,-14.08165,-25.811659
hamate,62.892227,-18.700777
rpl,-55.365837,6.1525793
frequency/urgency,6.7976017,-3.233135
non-bloody,14.019738,49.46726
ischemia/infarction,-3.1967256,-18.985971
subgaleal,40.805843,2.8645253
peumonitis,-6.541871,17.490314
apneac,-24.871092,-5.926264
atrophy,16.715633,23.514719
nonalcoholic,5.1422763,11.2832775
tah,-48.57078,0.6123344
hepatico,25.628233,-15.37962
mesenteritis,27.92961,20.311777
malperfusion,15.288448,-16.013542
post-parathyroidectomy,-7.0779514,7.2569127
pneumocystic,34.199993,14.327234
resi,-33.36272,-6.976714
iliitis,-16.043201,-1.9099023
rml,-54.902233,8.526401
thirst,-9.104116,31.0279
hypersecretion,-19.852766,-13.711309
diarrhoea,12.01203,51.301765
malpositioned,21.909771,-29.335007
thoraco-lumbosacral,-20.229671,-7.129102
disproportion,35.563267,-23.691944
thrombus-like,12.319334,-13.620254
tod,-54.81541,7.0920258
had,-43.396595,-29.540508
neckpain,-22.072142,-1.307423
bullae,27.055693,4.794026
vasospasm,0.3486701,-17.143797
rcc,-4.989671,-37.028168
osteophyte,53.07081,-15.087141
inflammatory/infective,-3.4775126,10.304117
704.1,-22.602898,3.7478626
uterus/endometrium,-19.715519,-9.611366
granulomatosis,25.328993,19.99783
humor,-9.789636,-14.026768
posttraumatic,2.0959482,15.257928
cfl,-53.5543,4.6741
cholycystitis,-7.198664,3.6760788
taa,-63.792126,-0.42515254
ad,-30.09769,-23.640146
vasculopathic,19.058645,16.168283
tachypnoeic,-6.711392,31.937778
polymositis,-5.96757,2.956197
wegener,22.249805,19.581347
morcellated,15.106157,-24.428411
tingling,11.735523,42.925884
well-distended,28.85594,-7.052513
occlusion-,-4.5547366,-13.539568
convulsion,-15.996843,44.173412
esophagial,-18.487541,-16.848606
carcinoma-,-3.2565632,-40.946873
scc,-9.717101,-34.767097
hidradenitis,22.559242,39.53655
diarrhea/colitis,-26.523825,17.760191
tramatic,1.0182124,-10.890151
mold,-34.746727,11.559532
arteriosclerotic,8.2445,-22.265965
nmo,-54.601482,-2.8468971
cavernoma,22.822542,-24.019022
satelite,-33.89592,-3.3401208
nf2,-41.633545,-12.792778
35580,-44.248272,14.112171
re-dissection,16.51402,-16.386713
intraabdominal,25.49177,-4.8060145
u-turn,-33.655884,2.7310557
supraventricular,-8.134279,51.968758
hemosiderin,6.1607943,-27.06589
mdd,-28.77382,-0.8751104
calcification,14.030648,-21.40811
p.,-39.90167,5.9698243
catheter-associated,-38.370426,25.417358
osteoblastoma,10.768397,-53.201992
tummy,-36.9221,3.7492561
nodding,-2.4379044,40.19331
inflammation,10.39999,7.7807956
dmd,-55.749107,2.727837
tardive,-12.186171,36.741413
st-elevation,-4.6841955,-16.853493
irritability,-22.251432,38.103497
cogwheeling,-3.5029147,38.86
post-cannulation,-6.066516,-15.400983
combustion,-27.73411,-8.927556
persistent/recurrent,-9.765843,-27.153255
tachy,-8.517533,49.51231
cardiomegaly,12.774413,34.832863
thicknes,-27.714674,-11.622284
entero,-28.880142,20.461805
teeth-,-9.065643,-6.533628
25605,-42.799324,9.049773
vw,-46.349182,-15.24326
irregularity,-3.0538754,-8.580569
sick,-20.099861,12.660602
trifurcation,20.000904,-18.190006
agina,-6.031759,-17.698904
lymphoma2,-11.746903,-34.088287
anoxic,-6.3537755,-11.699254
left,10.542081,-19.827269
dysexecutive,-21.68965,38.69026
prematurity,-0.7819915,12.607434
procto-sigmoiditis,-12.8134,2.7828774
minimal-to-no,-16.96993,5.8103
jp,-50.923595,-6.5120506
angiitis,26.256727,20.371868
chb,-55.200554,4.402328
hyperosmolar,-4.7828493,21.91137
tachypnoea,2.720047,47.316162
bulla,27.143143,4.4886208
20/400,-4.8028207,-27.958515
faliure,-8.388714,8.553405
wrist,62.615788,-13.322106
sialolith,29.931633,-23.772604
hypercalcemic,-23.00581,-32.475006
cryo,-24.387812,-15.813474
sinuitis,25.00263,8.467492
tachypneic,-6.7057767,31.937693
dlbcl,-17.318148,-23.315855
cirrhosis-,-23.889376,-4.753048
subarachnoid,27.319067,1.7723513
intra-thorax,-21.009993,-3.1165156
numbness/paresthesia,-13.530615,18.760681
leak/fistula,-12.492809,-5.0739684
bronchopulmonary,31.315283,16.969572
microabscess,27.754469,6.3593645
immunsuppressed,-14.237538,4.776762
ectasia,16.053053,-20.804348
inspissated,30.306047,-19.954554
serositis,28.858276,30.141663
encreased,-21.723837,-3.8360324
drooling,1.4787794,35.954906
right-side,10.152735,-19.625694
sp,-42.923584,17.651474
81-year-old,38.47333,10.48723
hypodensity,10.37926,-33.930573
spleno-,4.877931,14.828886
fatigue/malaise,4.8502555,41.37941
meningitis,37.446217,17.535063
pneumothroax,19.102953,-1.2627672
11658,-41.75505,10.421496
chloroma,13.7940035,-53.6536
hepatitis,7.249821,11.825394
over-distended,8.959126,-4.830817
diagn,-27.91131,0.68943995
gastroenteropathy,24.616137,25.749659
hypoechogenicity,8.861118,-31.203875
rhl,-56.431217,10.464247
pvl-,-40.554794,13.984514
panniculitis,27.53101,20.369225
immunosuppressed,-31.31194,31.19523
tracheoesophageal,33.790485,-14.70779
sternal,49.129433,-21.981554
pa,-45.167423,-14.1851015
decortication,20.906738,-6.214504
pain/sensitivity,-21.03091,-2.293717
ctcl,-27.62171,-4.795191
vasospam,1.6051136,-16.211506
depressive,-20.889471,36.810585
perforation,34.232754,-13.366453
kyphoplasty,44.65796,-20.483236
stricutre,0.8300294,-4.821898
near-resolution,-12.2572975,12.7300205
pallor,18.570383,30.179276
hernation,50.10414,-16.719444
nontraumatic,1.5206587,-13.770131
stricture,30.377724,-15.654731
clostridium,-38.494244,18.23952
eisenmenger,9.985416,17.46957
post-decompression,-4.5205116,-11.153438
tendonopathy,57.042812,-9.169059
refractured,54.95318,-17.680025
clm,-43.7835,-11.028299
abnormalitis,-16.511217,-13.661937
abces,-59.345875,19.760353
arachnoiditis,40.31283,5.16379
haepatic,-16.020544,5.869823
myelopathic,52.64124,6.4814973
pemphigoid,22.614164,36.061962
parosteal,9.488993,-53.417744
polyp,20.32388,-38.881542
hemagioma,27.745865,-3.3677106
infarct,-0.93611115,-20.033487
adneocarcinoma,-4.377248,-39.970924
hydrometra,19.2577,1.312943
anu,-38.76491,-0.9249334
hallucinating,-18.162184,34.98501
hyperreflexic,-2.627077,32.72154
schizophrenia/bipolar,-20.349718,29.9291
sib,-15.756217,-16.034336
malunion,58.61784,-20.26767
hypoalbuminic,-16.277765,4.2240844
perivesicular,6.897264,-25.764174
haemoperitoneum,42.90475,4.951306
seting,-27.709587,3.230001
broncheal,4.456337,-3.9022808
hiccough,2.7384515,42.345463
stroke-like,-11.409625,40.777554
undescended,17.62589,-29.840233
trombophlebitis,-6.528753,-4.996586
grimacing,-3.7116706,39.929558
nose,12.025945,3.796118
non-convulsive,-17.149363,45.591537
sj,-45.93494,-18.40606
crest,-13.327456,-42.167843
witih,-22.303694,-4.208437
atlanto-axial,59.42027,-16.105083
lumbar-level,-8.275854,-1.4332147
artifactual,-28.756224,-4.578879
trachea,20.314835,-11.495984
pahse,-26.76496,-7.481786
glioblatoma,-6.1231275,-39.541058
gangliocytoma,3.7793994,-50.47688
ileu,-41.714825,-6.9577575
moderate-size,9.389566,-11.01592
pen,-27.450844,8.795031
hypoalbuminea,-21.51249,-0.47294313
tissue/fluid,-11.114095,-9.732977
sprue,26.069532,24.449757
anuric,1.863495,24.299448
hypopituitarism,-22.334982,-38.37074
0920,-42.282196,7.7629285
lymphadenopathy,35.26561,29.716494
faint,-8.916228,-18.256226
0735,-27.717274,-1.061247
refernce,-11.54239,-19.198187
encephalitis/meningitis,-25.397127,23.708122
semicoma,-8.134304,35.36163
contre-coup,3.523649,-15.501933
exvacuo,6.5989914,1.495139
otorrhea,20.458586,49.151386
recrudescence,-28.603111,16.8186
hp,-34.098457,-7.375846
abruption,-21.289434,-25.928373
typhlitis,31.85183,19.135778
hiccup,2.1379526,42.616722
neuropathology,-24.779818,14.140964
hyperglycemic,-26.098925,-26.346577
truama,-9.633787,-6.152989
migraine,8.313261,42.413376
palpable,13.710511,-27.41292
hemivertebra,53.163307,-18.036602
para-clinoid,9.103517,-13.406785
prviously,-22.973658,-2.720288
incontinence,6.973614,-2.5729992
x48,-41.90639,9.837547
post-cholecystectomy,24.919882,-17.654535
submersion,10.649939,-2.6984506
fracture/dislocation,53.871742,-16.480804
pan-hypopituitarism,15.252695,14.461258
immunsupression,-21.090897,3.3939676
palor,7.762756,32.256718
transiet,-7.2471876,21.731789
egophony,-9.036048,22.355743
femoro-acetabular,56.965183,-11.581148
ovarian,-4.27068,-48.410305
esophagitis,38.549164,-1.8127778
myopericarditis,32.471718,26.694618
celullitis,24.434994,5.643014
ataxic,-6.3570237,38.352783
consider,-26.038359,-18.426888
vt,-46.56869,-13.947802
melena,12.846972,47.764877
aut,-43.29694,-1.3593229
pud,-51.638054,1.2438201
glossoepiglottic,20.694878,-33.305397
too-rapid,-9.576648,12.646131
pelvic,26.514812,-5.2909617
uveitis,20.967579,27.127588
hamartoma,11.343006,-48.45018
tumor,-5.2317357,-43.090313
ameloblastoma,8.805929,-51.359467
gastrinoma,4.8280644,-43.916573
hyper-vascularity,-17.961134,-12.722822
streak,-36.776546,-4.2043376
intermenstrual,9.2926445,36.78325
iga,-52.396633,10.223277
hypersomnic,-14.929245,37.96856
item,-14.967063,18.979439
gurgling,0.755511,40.249382
four-vessel,-1.9567262,-22.703133
786.2,-18.763554,14.768143
myopic,-2.4254782,-30.04827
microthrombi,13.699352,-12.494204
obesity-hypoventilation,-2.9170897,30.247828
hypertension,-29.015514,-29.733967
pericardiac,17.235191,0.70399773
neuropathy,17.537048,26.230844
epilepsy,-17.103819,44.039448
hepatogastric,21.82514,-17.182138
dicreased,-23.85707,-7.5239096
v-cath,-51.512165,6.8982234
agitation,-12.484043,26.215984
jerk,-5.1377935,-24.104595
postpuncture,16.30304,-5.0406404
sah,-40.685642,0.6900089
ssd,-49.134693,8.769921
itch,7.9315677,40.58533
fever/,-1.6360849,18.18248
hyperventilation,-4.64021,28.462608
minimal/mild,-12.748222,-14.045337
gird,-33.306263,2.13425
deformation,-18.819067,-20.783184
respirator-dependent,-4.5779743,33.406967
illnes,-12.4482765,12.823721
shivering,-3.8530931,46.24489
vallecula,20.884853,-33.67704
post-craniotomy,5.742034,36.506886
orchitis/epididymitis,-11.533453,-6.687837
sb,-46.82887,-10.038774
hemiplegic,-4.989334,36.43517
thrombosis/embolism,-3.5024002,19.150187
oedema,19.123793,4.7521954
medulloblastoma,-7.5407653,-44.40208
0415,-42.383446,7.298797
neuroarthropathic,55.497753,-11.869214
infectious/inflammatory,-2.419746,10.51604
several-day,-10.640877,23.272442
tachy-,-8.416269,49.354176
differntial,14.912005,5.3881006
thrombosed,18.849361,-21.246489
oi,-45.322426,-17.755371
non-obstructive,7.1339602,5.394595
gram-,-40.319004,16.263062
lid,28.81025,-42.953476
trauma/hemorrhage,-3.6835063,8.730565
afib,-11.267942,7.606075
brady,-8.270509,49.56474
-history,-14.559627,11.872721
methicillin-resistant,-41.788624,21.900955
pedunculated,20.267519,-38.865467
stem,-12.983992,-41.785934
facial/neck,-8.944361,-2.159452
hypotension,-4.181818,47.174305
nephrotic,9.727352,21.055447
non-articular,55.759445,-9.570621
polyarthralgia,15.458426,43.019325
diuresi,-43.3074,-3.140212
onium,-39.279556,-6.1400156
diverticuli,34.460472,-11.487539
non-q-wave,-5.0688148,-17.36937
tbm,-46.602577,5.6241117
pre,-104.63656,-3.0528703
thoracic/lumbar,52.40708,-17.485325
jaundice,28.305626,33.84208
subglottic,17.72414,-9.058819
duchenne,13.67123,24.707254
hip-,54.29692,-13.590049
rp,-41.156986,-22.414677
air-block,9.785285,17.11866
tuberculose,-59.8631,20.313778
post-extubation,0.48222998,51.948536
pec,-37.52805,-4.1259847
paraparetic,-3.925763,33.619793
choledochoduodenal,32.25792,-13.785584
incoordination,-6.7841463,39.69465
paroxsymal,-12.317604,23.727707
hematosalpinx,28.025557,-26.166632
hyperaldosteronism,-24.113722,-36.268337
tricompartmental,54.980026,-14.366936
fatigability,4.1932507,38.291042
post-cystectomy,24.143814,-16.044676
gastritis/duodenitis,34.66192,-2.0197022
fainting,-0.7950528,48.042866
puffy,17.567474,33.522434
subacute-to-chronic,4.5196795,2.2158191
surgical/traumatic,-22.198126,6.540064
sesamoiditis,56.21752,-10.829724
meningitis/encephalitis,-25.349607,23.716808
super-infection,-29.38865,17.578035
brown-,-33.4914,8.013052
choledochoduodenostomy,29.115395,-16.175896
spondilitis,58.25352,-0.11808366
itp,-46.485737,-8.920225
coil,-28.071112,6.6473618
cystoscopy,24.548574,-36.68763
fibrosing,29.327568,21.359251
786.09,-18.723436,14.680183
post-necrotic,19.376617,9.018345
flashback,-18.413004,33.088043
temp,-36.529175,-10.338622
thigh,47.4936,-26.16237
acertain,-26.178534,-1.668191
cystitis,29.109417,14.07636
feber,-17.600018,15.287927
calculi,27.802427,-19.975323
apophysitis,57.73295,-10.7541
pouch-,-19.044714,-8.506588
gastroplasty,27.10907,-15.952653
alport,10.408002,18.939217
non-segmental,21.133251,12.698345
23457,-45.946575,15.329014
peri-anal,35.2229,-7.4560275
pouchitis,28.502974,25.465952
porphyrium,-34.295357,8.816349
sl,-46.509605,14.305995
enterobacter,-41.06373,19.588562
leiomyosarcoma,8.620196,-48.33797
pyelitis,29.477686,12.333859
ntt,-36.90127,-12.827539
peptic,36.23038,-0.16342826
post-right,5.459511,-8.943598
noncompaction,7.8184037,28.588123
aneurysmal,17.043684,-21.71565
malignancy,2.6636858,-43.097504
palate,32.089184,-42.37801
mycloma,-14.410339,-0.29984468
bon,-59.320442,19.66712
paget,20.976105,20.41163
bleeding,28.65586,-0.86388516
submassive,15.078172,-11.0782385
erythroderma,21.794584,37.30611
nectrotizing,-25.303583,20.350157
ureteroileal,30.618837,-16.88303
bronchocentric,26.04091,18.361727
intracanalicular,8.144942,-40.96802
micro-aspiration,32.209934,-3.6242876
spasm,18.160662,-14.84771
spenomegaly,-1.2481126,18.521608
