term,x,y
near-syncope,16.33934,-25.76391
traumatic,6.2898335,16.281956
secretion,-7.574408,3.3729656
hit,-12.234064,-2.2400846
ct,-17.955177,7.5893607
hemorroid,-6.5149465,1.2345695
irritability,-2.6217976,-24.206312
cm,-7.305364,10.738397
fallot,-0.23559377,25.234913
hallucination,-1.9961807,-22.973198
appendectomy,3.413697,12.448195
neuroforamina,0.9355358,18.76627
bite,-1.9227104,-1.603734
hypertension,-8.521965,-9.904149
hypothroidism,3.738263,3.7914186
opacified,-9.40276,14.724831
rigidity,1.2632625,-12.372902
bronchiolitis,31.85116,-9.944192
gvhd,-6.908591,0.23666614
otitis,31.057516,-6.480627
down,-11.244602,1.474518
tremor,4.0494285,-19.473677
dm1,-26.620708,-8.34347
parethesia,-4.181104,-1.501082
ad-,-14.594373,4.7709928
osteomyelitis/discitis,2.595017,16.923714
flaccidity,8.323411,-10.497285
convulsive,-0.0024583763,-29.938307
paraesophageal,5.7336206,31.47716
hydrothorax,13.798944,25.87159
hemothorax,14.12269,27.025288
vaso-vagal,15.940365,-26.056383
malnutrition,0.28952867,-0.90018564
sd,-12.929454,4.0242915
twinkle,-24.966864,-3.3384187
cll,-15.813985,14.104263
proctosigmoiditis,-2.3148162,9.242995
hyperparathyroidism,-0.012802355,6.4683933
flutter,12.853841,-32.79858
atrophy,8.070226,-2.2071218
movement,0.59297025,-13.967863
hcv,-9.335517,5.1673427
fainting,17.303028,-24.278845
h/o,2.7036579,-6.7945
shake,-12.743813,-6.1437416
bipolar,-6.708316,-26.528019
pedi,-13.852619,-10.177691
pre,-11.435514,2.9423742
fasciculation,1.2581168,-10.739864
stemi,-9.70963,-1.2178545
pyometrium,2.3405273,8.287706
convulsion,0.1097321,-29.616983
cpap,-4.501336,-4.295848
overdose,-0.2727892,-4.0859475
fasiculation,-10.196885,0.733227
osteosarcoma,-15.936089,18.730223
hyporeflexive,-4.6202817,-1.3034347
healthcare-associated,-28.112738,15.423211
discoloration,-2.3734727,-15.013879
elbow/wrist/hand,10.404082,-12.00026
line-associated,-27.83029,15.870782
subfalcine,2.9566207,18.303482
dm,-17.215858,1.6445408
hl,-26.055302,-6.831697
hyperparathyroid,0.7204396,6.628232
cough-,-6.322949,-2.1909304
melena,17.744162,-18.769035
atheroma,-5.45083,8.622023
delusional,-8.5625725,-27.238409
somnolence,20.295849,-15.969797
arytenoid,-2.8238926,31.255661
necrotic,9.058066,4.8269296
cystitis,10.1560955,10.863281
incisor,-4.060082,-16.50694
dermatitis,26.98928,-9.461944
finger-to-nose,2.8111532,-14.752894
jp,-24.87419,-8.955475
leukoencephalopathy,8.45706,-0.8210711
hemorraghic,10.239871,4.189849
tachycardia/,-4.2317767,-5.6391726
congestion,21.022219,22.080915
acut,3.1737921,1.6194781
hyperextension,28.408298,13.272339
referred,-5.9572263,-1.1767166
panic,-7.955843,-26.226208
ach,-16.52612,-0.36845586
parainfluenza,6.544732,9.486806
pnm,-4.937072,0.76876163
bronchitis,30.55952,-9.19083
presyncope,16.865671,-25.786343
depression,-7.3597803,-24.635332
paresthesia,14.590745,-15.177361
cardio-embolic,12.883739,-2.6661515
rigor,-7.1631784,-3.0014188
costochondritis,16.858866,12.152763
ib,-22.277737,4.244766
malalignment,27.38894,14.192856
vasogenic,21.817293,20.70852
dehisced,7.5045047,27.79477
pulm,-10.786341,-5.0910773
perineum,1.4308813,31.98824
deficit,-3.4297636,-9.178325
initialy,-7.2606564,5.1913967
lymphadenopathy,22.430584,28.984331
non-healing,26.021881,7.035781
itp,-19.034199,2.7022069
nph,-23.093601,-2.4680243
facial/neck,-2.9896035,-1.4843688
melanoma,-15.517036,19.345053
lactose,-11.080855,-7.010675
ra,-26.230068,-12.287461
nonproductive,-11.839603,-13.046149
728.86,-1.7076554,4.6412845
grunting,24.116854,-21.39409
feculent,22.824594,-12.271588
hyperintensity,-4.4318213,23.664076
28-mm,-7.4332123,7.047419
sore,23.74868,-17.686148
prostate,-18.739637,22.508448
hypoxia/hypotension,-2.025772,0.21502835
ftn,-33.68142,-2.2223055
comminuted,28.21512,17.578506
constipation,17.059216,-13.657214
myasthenic,4.2870555,3.2640333
998.59,-2.103293,3.7000995
arf,-34.81534,-3.4861016
presyncopal,16.397295,-24.673693
cachectic,-6.384786,-9.0238085
hyperparathyrodism,1.8126664,6.681105
dyscoordination,1.5641803,-8.983116
cva,-26.468359,1.8787513
hhh,-21.562132,2.1048756
neck/back,10.774316,-12.745644
sth,-25.526173,3.6547914
sneeze,22.52115,-22.649042
hydropneumothorax,14.864814,26.845854
tall,-13.950275,-2.5612335
goiter,2.3533835,4.454235
asthma-,-7.504813,-4.729691
torso,29.610147,8.818598
ard,-28.961815,-1.4856958
ga,-26.988379,5.6835966
fibroid,-12.846833,24.99459
skull,0.14340556,17.746702
oopherectomy,-12.51619,29.81997
hiccup,10.429253,-17.30285
complaint,12.31735,-17.246134
keratoplasty,-11.801805,11.888653
irritation,14.736922,-10.442688
frequency/duration,-7.3917046,-19.402945
doa,-14.963371,-1.0555522
ischemia/infarct,9.985606,0.5575861
lue,-20.431383,-3.9871614
ideation,-10.201564,-25.77517
cardioembolic,13.157004,-2.7456856
ankle,27.571669,12.89532
tbm,-26.9328,-0.72041667
hyperdensity,-4.1273923,22.885817
meningioma,-9.664917,21.291399
cardiogenic,13.410528,2.89462
pd,-16.909418,3.9989364
ventriculitis,13.645557,12.108771
hyperpigmentation,20.829124,-7.6718855
scc,-8.559556,2.5265646
enteropathy,3.0147233,9.49599
bruising,16.113955,-8.991075
encephalitis,7.458148,9.736516
orthostatic,18.377403,-26.715939
intra-abdominal,6.9046993,19.308174
nsclc,-19.825811,17.200092
perforation,5.1174364,25.395153
rcc,-19.81388,16.156889
tonic/clonic,1.3039707,-29.154604
seroma,8.945852,27.003529
nonhealing,26.02069,7.0366282
splenomegaly,18.589281,-0.32062623
ey,-31.657722,-6.2744055
migraine,13.285389,-18.212954
spasm,19.670261,25.095137
gastritis,-3.7079592,12.640516
hemorrhagic,11.105954,3.9143932
post-inflammatory,21.41221,-7.8854
all,-11.295325,0.02974398
mouth-opening,5.8835406,-15.307014
tbi,-17.173752,-1.8941958
sciatica,23.173004,3.0962422
diabetes,-9.373138,-10.393772
post-stroke,-1.7511971,-8.474526
sr,-19.649252,5.8529043
hypercoagulability,7.1782975,2.5508938
s/p,0.64156204,24.682346
prolapse,4.290918,27.14926
ddd,-17.942211,0.6613141
throbbing,15.189746,-16.961065
overhydration,2.36693,-1.9440343
sub-dural,7.63081,21.498531
discoordinated,2.1582894,-8.984136
throat-clearing,8.428363,-14.642579
nsr,-28.787512,-5.1169186
gerd,0.55715567,9.741051
hypercarbic,27.48506,-27.220243
transudative,16.882292,26.551147
vasovagal,16.324833,-26.948214
concussion,6.574649,15.200891
rubor,13.684862,-8.257601
wheeze,29.163973,-13.346808
dic,-21.721277,-3.2136688
