term,x,y
dislocating,8.490595,1.0435747
bradypneic,-3.2918372,0.09005232
snoring,-12.662749,-2.7135222
cva,6.701703,7.042105
hiccough,-6.047081,-5.8084464
glaucoma,1.9579927,-3.8027127
melanoma,-0.67593616,13.559223
gib,7.3879123,7.894352
ileu,6.2001505,8.868368
depression,-7.619304,8.023728
sternal,1.7095937,-2.1655982
hypothyroidism,-0.8926356,3.1223993
tachypneic,-7.417197,-1.5346419
agonal,-2.353635,0.45299396
tpp,8.482733,10.5645
ronchi,-3.6410267,-5.160517
aviod,2.472539,3.2056384
rcc,2.5435054,1.0133654
diabetes,-3.716651,9.773584
congestion,1.7078915,-5.7875214
paralytic,-0.69871825,-2.6054394
mr,3.0340662,9.613317
hematoma,4.978154,-8.331016
dislocation,8.459422,1.093454
hd,5.919153,9.537648
can,-0.012986618,6.7053165
nausea,-8.742191,-11.148928
hypotension,-5.413512,-2.0696328
encephalopathy,-6.568817,2.054221
coagulopathic,3.3730855,-5.719563
leak,3.103823,-2.7877836
depressed,-3.509267,4.780675
pancreati,3.108835,4.8531575
sp,8.878973,5.921672
appeared,0.19076316,6.4496403
floppy,4.3162417,-1.709657
hypertensive,-4.01953,8.736981
cmo,6.717517,10.596204
diarrhea,-6.38291,-10.806833
prostate,-2.135946,13.379043
woken,-7.840866,-3.3974562
s/p,1.3910477,-0.76563597
infarction,-4.7979116,6.1180587
asthma,-6.486641,4.439147
daytime,-12.952291,-2.7660508
thoracic/lumbar,6.6288133,1.3654171
thirst,-3.1780481,-2.3833988
illnes,0.38514304,1.971863
fever,-6.2259073,-10.977016
ectopy,12.979373,-2.937977
sporatic,2.7751853,2.0861619
fibrosi,5.791703,2.0420039
ascite,9.184761,3.0867202
dyspneic,-7.2318416,-1.1738513
lethargy,-8.444412,-10.354573
abscess,5.0622106,-8.231602
drooling,-5.9489965,-5.210404
mp,5.3982687,8.142426
tachypnea/dyspnea,0.65063775,2.3873985
endocarditis,0.56567955,-11.518168
tumor,-0.62357736,13.530969
brown/yellow,3.2330506,4.385174
watery,-6.495342,-10.121235
puffy,-0.8815014,-4.7194552
gerd,5.010272,-0.83548635
acidotic,-8.977287,-0.44239447
al,5.796491,6.409014
spastic,-10.142188,2.0722303
derecruitment,0.19740824,-8.336304
tachypnea,-8.181861,-6.0686307
delirium,-7.447432,7.272863
strep,-1.8905157,3.8689988
trauma,-0.16084851,-1.0289097
hypersecrete,3.6614928,2.089236
gsw,2.33971,6.794673
pfo,10.448659,6.6554346
polyneuropathy,9.2579,-1.3537167
bronchospasm,-10.20798,-5.110749
vomiting,-8.559707,-10.985314
overinflation,0.13130425,-7.876544
posturing,-11.993385,2.8857574
obstruction,4.271492,-4.348293
panceatitis,2.7442727,2.5133774
tachypnic,-5.476538,-0.7825802
asnd,2.2094848,5.040103
pph,7.759857,7.283775
ild,0.4465027,4.6707797
hypercapnea,-9.328197,-1.6443353
tc,2.1864157,10.456997
p.,4.815654,6.436625
hypotensive,-4.0868587,0.22390372
hyperventilation,-8.958957,-2.1573443
injury,-0.14430577,-0.94494873
copd,-3.1484191,2.6009245
