term,x,y
rub,-0.4676408,-2.397843
ativan,1.8536925,-3.994837
pna,0.2912587,1.269608
appetite,1.7962251,-1.1099238
doze,2.118698,-2.72249
smoke,-3.6948829,-6.6129513
az,-0.10524962,6.8558874
dy,0.5357803,8.157461
cozaar,0.58538693,-1.7596114
pm,5.500704,1.6037493
9426,4.6356106,-6.6465197
wnl,0.9208768,3.2973092
nicotine,-2.175692,-7.1703997
dph,-0.38639623,3.8329782
que,6.110539,5.650473
sa,6.100206,5.658591
methamphetamine,-1.786625,-7.642849
cousin,-4.8458915,-0.5319736
w/,-3.1565497,1.5825596
substance,-2.4347355,-7.6796055
f/up,0.67926496,1.4690912
serotonin,0.3790213,-6.0844364
assistance/support,1.1232963,0.50507855
pea,3.0482678,4.8719826
pl,1.8503472,4.8246827
boxer,5.284816,0.5309844
alcohol,-2.719118,-7.088703
5265,-1.7065616,0.9373201
gleevec,0.77977395,-2.1716192
bu,-3.19276,6.210769
their,2.33082,0.30138764
mg,5.466542,-4.2482567
cocaine,-1.9077308,-7.52009
fine,1.9577252,1.3656952
vp,0.6856789,4.311242
12525,-0.28484944,-3.7200496
sda,-3.1335397,3.0874612
self-control,2.5833175,-0.6278841
2721,-1.192717,-1.1398948
phenylephrine,2.3411846,-6.291215
chel,0.21163866,1.1023602
5390,-1.6239507,-3.1468132
na,-3.315691,6.3089604
plavix,3.5013986,-3.769054
solarium,3.315067,-1.0478915
heparin,3.598151,-2.8504112
rev,-3.937703,2.4811041
trazadone,0.8006318,-5.91306
6215,0.7059815,-4.8745666
ble,-4.262676,3.5918996
cr,-1.2627892,6.0937514
methadone,-0.76267445,-7.462305
antibotic,1.1097451,-0.73316956
de-escalated,3.8838263,-3.2890174
smoking,-3.53544,-6.6877055
seroquel,0.9107663,-5.917959
suboxone,1.5057733,-2.8323116
o2,-1.2531005,3.3558562
pattern1,-0.8516467,2.738991
polysubstance,-1.9870076,-8.016816
geodon,1.1665773,-0.037158925
dope,4.3345723,1.431059
ss,3.6894622,7.1390705
ssd,-0.3338689,3.2073271
mtg,-1.2304906,4.870823
neuro/trauma,1.7512641,0.44827136
hbp,-3.8094976,3.389398
xanax,1.0255547,-0.93139696
6yr,0.8883469,2.1032333
listerine,-0.19880801,-2.0454903
mmf,0.74950045,5.0728154
chemical,1.5401537,1.3335948
zoloft,1.0875993,-0.6620956
va,3.7009945,2.3697531
benzodiazepine,0.6275773,-7.0126443
pt,1.6382139,4.390005
hth,-3.1134522,3.9446974
part-time,3.6632428,0.81548667
stemi,0.7169908,1.0186214
dnr,3.5141866,1.2953749
coumadin,3.8587227,-4.1654563
car,-5.154593,1.0962733
diazepam,3.1029294,-6.9665465
9731,-2.098092,-1.898056
aox3,-1.0380002,1.9299493
dilaudid,2.2376041,-4.4776225
hd,0.24684055,3.7723885
se,2.2405298,1.8254899
taht,-0.78868276,0.5181635
spirit,3.5491247,0.01660416
bloodline,-1.7116896,0.12159611
morphine,3.427888,-7.151784
3647,-0.07737642,-2.7046695
ama,3.0449445,2.1971376
clozaril,0.86572385,-1.1294061
7605,0.45522788,-1.6108965
10113,-0.8708176,-0.4936326
mph,-5.33808,1.3502225
sat,2.5852728,1.0812081
cook,4.521813,-0.28511018
tattoo,-0.75358325,-1.6472961
nep,-1.7536718,2.635621
6876,-2.432776,-2.1901636
prostrate,-2.245294,1.0771065
risperidone,1.664908,-8.2732725
multi-vitamin,-1.8551491,-4.731723
aspirin,3.7918453,-4.2317357
oxygen,-1.106308,0.11059381
suppo,0.073843874,-0.21163894
thorazine,1.5541162,-4.4767523
asa,2.1883972,2.5890722
d/o,0.26913905,1.1765189
antidepressant,0.6776948,-8.11292
mmh,1.8763242,0.80288064
q6h,5.5593367,-4.424314
blue,-2.1904325,4.629836
quadruple,4.43607,2.9992263
8165,-0.24492674,-4.0510206
9788,-2.453214,-0.12429648
ak,0.067274764,8.372537
hosp,0.92876345,2.0287943
cil,-0.87127054,4.894754
filthy,4.2926016,-0.19202448
aa,-1.219818,2.595864
granddaughter,-4.775994,-0.5387866
mgm,5.2818,-3.9610455
dch,-0.32960126,2.2529519
sertraline,1.6419275,-8.216671
cp,-1.9638542,2.5705898
k,0.10575481,8.362992
self-titrated,2.0028405,-2.5326176
no,1.5829008,1.9781615
lorazepam,3.0522828,-7.111822
ketamine,3.6497252,-7.1611767
depakote,0.941996,-3.9935613
bha,-0.8142487,1.8222728
oc,-1.0352774,5.6168036
assessment/plan,1.6836613,0.79321986
cmo,-1.8270017,1.9478132
pred,1.7695739,3.328504
atv,-0.81764925,2.1702669
tn,-0.012163511,8.437014
ncm,-0.11142138,1.3890786
gamma-butyrolactone,6.568297,-2.646526
mca,-0.3172109,2.7823873
cholesterol,5.4783506,2.837309
peg,1.9591192,5.593015
cosigned,3.1271803,0.7813638
pe,0.9646618,5.6176677
haldol,1.7256663,-4.5740867
keppra,0.7872854,-3.258251
cortisone,-3.7008636,-3.3649635
bilirubin,-6.4694924,-2.2192402
thiamine,7.221068,0.9480431
oxycontin,2.0710967,-3.9738
alcoholic,2.318838,-1.6819733
smoking/nicotine,1.7694,-0.49220282
creatinine,-6.4743752,-2.222524
trazodone,1.6937674,-8.01757
try,3.0104868,0.27014753
dcf,0.654924,3.0763786
acetaminophen,3.1019754,-5.5719705
ds,3.69285,7.1448116
heroin,-1.7448423,-7.714422
penicillin,4.887553,-2.9249504
life-line,3.110335,0.2153538
4x/day,4.7720404,-3.0605867
11797,-0.12083798,0.32416013
iud,0.70654994,0.87003577
benadryl,1.9794352,-4.764059
ga,0.52222025,5.1965847
ne,6.104251,5.658496
33f,0.11338559,1.8903495
sister-in-law,-4.5461926,-0.60687417
