term,x,y
levo,-16.37217,-39.4407
co2,-15.8713665,7.418446
barbiturate,22.98131,-38.01649
bp,-44.766094,16.382526
dopamine,8.120353,-38.791573
glargine,20.298117,2.2670157
cp,-21.340502,-11.658424
morphine,23.193378,-29.641678
meropenem,31.650394,32.73882
na,-44.394154,-6.5047417
ng,-1.4890733,20.451235
pes,-30.822226,32.339546
gr,7.3235626,15.274755
stemi,-11.799234,-3.8090973
heparin,4.06094,-20.224167
alcohol,10.045197,-28.61937
vancomycin,32.43745,28.169428
ama,-6.2317863,13.536656
zofran,-5.5406203,2.5733953
pea,-25.380966,-17.008787
air,-9.318847,-29.463375
cefepime,28.091671,34.2668
q24hr,-1.0425402,0.20734875
steroid,10.826285,-19.192623
potassium,-25.813276,-28.843096
cocaine,14.879852,-30.715174
pna,-13.268382,0.75574785
fentanyl,29.084555,-31.25436
levofloxacin,27.782751,29.317123
labetolol,28.429008,-19.139397
q6h,29.864746,13.716187
etoh,-11.08104,10.192316
levophed,5.328469,-13.131501
haldol,13.113615,-7.0562186
reglan,-5.2820654,-1.572698
fluconazole,29.386477,24.207375
dilantin,41.5622,-6.0140605
fl,-0.72026914,28.701101
dnr,-37.283695,10.875864
nafcillin,36.547108,30.193567
cx,-26.731495,14.8794155
vp,14.161861,18.163359
ptx,-32.985455,-4.526655
ppo,-35.36573,-31.410532
hmo,-21.523348,-0.7686808
listerine,4.039327,0.9137826
chemo,5.043696,8.158844
phenylephrine,20.434574,-21.273771
abx,-9.629448,26.857107
spirit,-11.710081,-21.250145
benzodiazepine,14.740503,-37.49968
qid,33.2453,11.352499
methadone,35.565483,-25.209332
dob,-5.310619,-9.774514
sa,54.059265,154.30577
o2,-33.771137,20.373652
ncm,-10.790677,4.32785
ds,-45.86777,3.887979
oxygen,-32.577583,-21.515097
peg,-20.501808,33.21422
str,-27.958014,-9.912453
levaquin,-2.8170602,-5.0491843
dilaudid,11.311306,-11.660726
silver,-0.29947758,-29.186716
amio,-14.996754,-7.646297
trach,-6.2387247,7.4736624
coumadin,27.411224,-1.2742231
8319,-0.7702144,5.4730306
ativan,8.496276,-3.9575264
cm,9.297904,25.942526
ret,-43.65798,-18.866386
tbd,-9.268056,-0.30457583
no,-14.70657,-13.762611
3464,-1.436125,-15.22406
bme,-20.21858,-5.7239223
vanco,0.17683195,-8.968596
thorazine,19.26633,-6.041634
pattern1,-17.484306,2.81267
metoprolol,32.510445,-15.392006
warfarin,30.84781,-2.207184
aicd,-35.301296,-12.812532
w/,-29.519115,8.516899
diltiazem,27.595173,-13.664917
k,-25.500225,23.326284
cc,4.8594112,21.550611
cmo,-28.135185,1.7442762
hd,-20.854654,10.816299
command,-18.549673,-19.84609
2721,9.5000305,3.9087284
phenytoin,36.9552,-9.388279
flagyl,15.426028,8.76644
ltc,-16.299047,-2.443062
adq,-7.797795,-4.9072514
vac,-9.674812,37.16125
pt,-15.747014,14.742019
pentobarbitol,13.801656,-1.5115665
pantoprazole,35.187164,3.8255901
ua,-17.413683,23.92966
sodium,6.7930017,36.274166
pcp,-23.00469,4.7813587
dme,-35.96164,2.3000822
mine,-6.388185,-37.50305
ate,-4.1419244,-21.982182
nicardipine,24.60375,-15.579535
digoxin,32.051537,-8.473389
cousin,-17.563303,-27.908241
msm,-26.127104,-4.1848574
hosp,-10.226076,-8.740686
sch,-10.0982685,18.920654
lasix,18.117764,-12.618374
propofol,28.110752,-34.9606
penicillin,35.505787,37.77194
glucose,-8.138594,-15.207844
clonidine,24.03433,-25.299202
tylenol,5.877344,-7.7975984
dm,-0.015890239,12.838143
q4h,25.61966,9.800696
ne,98.083984,-14.847131
neupogen,1.7478937,-3.7187266
pe,-20.690447,17.856585
