term,x,y
darvon,3.5496252,-1.2652541
micafungin,-10.531965,-9.576705
cp,6.0101347,-6.3522396
ng,12.286936,0.07865272
bactrim,-10.499585,-7.434339
po2,8.870944,-3.5293958
nitroglycerin,-0.78831697,9.775661
blue,6.372985,-4.931927
beta-blocker,-2.889387,5.4792438
ste,9.301344,-8.211107
lll,5.061323,-3.4099624
pea,5.9993253,-5.7482715
atropine,2.0142431,8.85247
terazosin,-2.9989994,8.563758
citrate,14.490657,-4.898933
guaifenesin,6.149649,10.818206
lansoprazole,-5.9700108,9.888535
neurontin,2.9997275,-1.9900317
haldol,3.2806687,0.15845408
dilantin,4.8011694,-0.07997645
diazepam,3.8814716,10.350017
aluminum-magnesium,1.5335412,-0.1999624
simvastatin,-6.1398025,4.9046574
furosemide,-0.74824107,6.377976
simethicone,0.32676744,1.1540427
dobutamine,-0.15236092,10.410778
q8,-7.9676304,-1.4761524
qh,7.0613055,-11.42467
discontinue,0.6824413,-2.2949195
amiodarone,-1.2711567,5.4207115
spironolactone,-3.3687425,6.5887895
qid,-10.279924,-1.1152786
clopidogrel,-3.9799182,2.425085
ammonium,13.598169,-5.090363
linezolid,-13.086938,-9.655916
torsemide,-0.97694904,6.1458044
fluoxetine,2.3607466,12.843062
dilaudid,3.6150334,0.8161869
procainamide,0.83955395,6.264407
ss,4.44924,-7.3361435
azithromycin,-11.33932,-8.454456
glucagon,8.941425,1.595107
amlodipine,-4.2609134,7.3516245
benzonatate,2.9022307,-1.106563
uptitrate,1.2144307,-2.2991698
troponin,2.7895007,-6.9640884
syrup,1.592316,0.40811646
metformin,-7.533356,4.067441
zocor,3.6266901,-4.1732364
luminal,6.2010074,-3.8277683
pattern1,5.0784497,-7.891134
kayexalate,0.7131923,-0.7452292
warfarin,-3.326313,2.1255612
pna,4.663626,-6.4457736
smoking,-1.8518674,-11.806784
k,6.9210443,-13.130141
pt,7.5263305,-7.967564
norepinephrine,7.9710565,4.347662
narcan,3.9177604,-3.5554128
persantine,-0.97456485,-0.9667292
ampicillin,-11.844259,-9.958602
coag,5.1853085,-6.885444
cr,4.421932,-10.000978
nl,12.276584,0.068338186
ami,9.114986,-8.799832
benadryl,4.2489095,1.8262922
lipitor,1.9367336,-2.4307897
