term,x,y
na,-64.9355,-33.218857
inferior/lateral,-1.9723386,58.94815
bordeline,-44.097057,-30.283604
ste,36.543457,42.02249
fib,-75.91306,-56.600418
ddd,-48.238796,25.285896
cva,-41.099056,6.876303
repat,9.905921,-58.572777
increasesd,28.20027,-33.93558
traing,0.9101132,-22.981153
avf,105.19026,-9.435832
amiodarone,66.677246,83.231346
2:1,84.90426,42.562496
sa,111.69973,22.473343
top,46.475674,-63.53925
troponin,82.29767,-43.34453
inferus,-10.909117,-18.706627
ddi,34.850986,24.032106
130-140,12.484402,-106.77732
bi,32.989388,104.07671
pattern1,-38.60916,-10.989639
k,34.39162,91.79329
connot,-12.570763,-5.0751195
fine,-11.179944,-57.596504
135-140,60.1386,36.014923
snu,20.44783,17.47487
within,29.331903,-52.36371
effct,43.927532,-7.211409
ahve,-23.725409,17.50074
pac,-41.07277,-67.278015
potassium,-1344.4852,-16.528904
qrt,19.75595,36.589577
increaed,62.03964,-1.4772495
v-,25.720312,-78.78004
-due,-9.368762,-35.1559
be,-21.803577,-81.833565
avr,-60.48997,-86.6793
saw-toothed,0.43718192,-78.73102
aslo,-18.877201,46.64524
140,-65.33362,64.436935
catecholamine,57.683598,-23.270899
ors,-55.742363,-11.292421
sigle,5.0201735,-41.563534
probaby,22.139399,-20.20294
txa,9.134233,9.439619
digoxin,76.02821,75.76011
markdly,11.183592,-14.609852
pat,-69.33013,31.931
ischemia-,25.529736,67.12217
vus,-46.86204,-46.70676
ep,-79.30355,-16.025816
boderline,-24.61244,-42.808983
av.,-63.679943,9.132499
basline,-11.1705675,27.687502
anterior/septal,-1.2092388,1.7019175
dvd,7.640662,24.296574
previous,73.505974,-71.10652
verapamil,-102.69704,-42.262913
ainu,53.19814,17.239988
calcium,110.482185,-51.259857
activy,35.937824,5.5325694
t3,-46.63206,48.564682
initialy,-23.806948,-13.071624
prlonged,-12.518178,8.8423
pesent,11.291592,-3.0903378
non-q,11.972562,59.28538
imi,-0.514769,39.359806
position/,25.789803,-7.847979
noncapture,-11.63282,78.92417
ecg,4.870952,83.686424
probalby,21.810675,4.1004114
borderline,-93.61503,59.24847
rhythm-,-30.364315,32.745647
no-specific,37.84686,-21.53909
anterior/inferior,80.96206,15.955095
vcr,-30.74528,63.930466
othr,12.176842,-29.683128
normnal,-2.1727982,15.282872
baseline,52.14655,-42.790092
flutter/fibrillation,-13.773056,97.081924
vp,-47.085148,89.07911
otherwise,-110.385826,-11.297985
ine,50.895218,58.068905
no,-87.86731,7.5158644
incraesed,-0.090952404,-10.150989
tbi,-25.623241,2.1844852
int,-32.672092,-110.05802
bordline,-26.53096,-27.917948
frequent,79.791214,-17.3238
k+,51.138027,-92.57868
medium,-99.63925,31.246014
