term,x,y
tremor,1.3923229,1.4888107
foe,-89.84506,-14.387706
hemothorax,0.09515908,5.4842086
akinetic,1.2049114,-3.104833
flutter,6.712628,0.377246
bipolar,-6.756356,-2.2670894
tract,-2.4114604,-1.4797821
myo-pericarditis,-1.217596,-0.27353555
abnormalitis,-2.988198,0.872717
sinu,-6.529769,0.014110398
infarction/,-2.9263182,0.36361367
tachycardia/,-0.5793399,-0.2577486
hypertrophy,2.4500232,-3.4142172
acut,-0.97424483,0.360199
multiform,3.4134152,0.41879144
depression,-6.5469637,-2.1564
presente,3.437845,5.3421383
fibrillation-flutter,3.6080751,-0.5957825
injury/,-1.9352535,-1.4757987
axi,-5.6043587,0.8742479
channelopathy,-4.769168,-3.7006347
idioventricular,5.594531,-2.711893
bradycardia,4.5509496,-2.788928
tg,-7.0166063,1.3954865
cva,-4.7681756,0.809044
pointe,2.3104584,-0.86886746
tall,-4.385821,2.5209954
ischemic-type,-0.6952035,-1.9006845
folllowed,-3.3018854,0.57484686
non-conducted,3.9067998,-0.8459963
pulmonale,1.46008,3.6748717
r-,-5.995141,1.590751
ischemia/infarct,-1.2038572,-1.4044083
prounced,-3.1163704,0.29170138
fibrillation,6.7257752,0.43763095
injury/infarction,-1.8549906,-0.22689971
perforation,-0.61469835,4.2475
infero-posterior,0.88823247,-3.0167508
asnd,-3.5530448,1.0187217
hasbeen,-4.1186867,-0.16310634
toxicity,-3.4698038,-1.1910808
ventriculophasic,3.5999727,-1.1762371
hyperthyroidism,-3.1581938,5.489335
fibrosi,-4.348104,-1.1961349
t3,-6.0941005,2.6213675
vasospasm,-1.0360843,-3.458596
tooth,-5.2854056,3.6855505
idiopathic,-0.23390138,2.0944777
tamponade,0.4715819,5.6041923
rs,-5.248344,2.0610895
hyperinflation,-3.107955,-3.2970262
tachy,3.3931403,-1.009258
trate,-3.2640698,1.2534862
pneumonitis,-2.7961376,-4.0113063
sepsi,-4.2279363,1.8561726
pvc,-5.4362736,-0.04726742
etopic,-2.7824728,0.8345465
infarction,-0.043927524,-3.762953
pneumothorax,0.22143666,5.5337596
findingd,-2.799925,0.40080917
asystole,4.917039,-2.8565
left-bundle,1.5113193,-0.5072049
sah,-4.2739654,0.8389624
sa,3.4305544,5.338138
aneursym,-0.47708878,3.651438
atrial,6.092364,0.25788498
nonconducted,4.5183854,-1.0370458
paroxysm,2.5363317,0.7931827
anasarca,1.0325274,2.7286143
undersensing,6.026193,-0.6792826
agina,-0.5908753,-0.70826685
irregularity,-4.652046,-1.8758403
inferoposterolateral,0.2013809,-2.564337
hypothyroidism,-3.1830785,5.4787183
abnormality,-0.5307234,1.233287
non-sustained,7.4914207,-0.80246
torsade,6.596875,-2.8501234
camparison,-3.8886948,0.14052811
slurred,1.6718,1.6779103
wihtout,-3.005253,0.07871861
effusion,-0.11678671,6.034505
ischemia/injury,-1.33597,-1.3117543
aberrancy,3.309271,-0.21299286
etiology,-1.2972959,1.3654053
hypothyrodism,-1.5722631,1.9497675
infarct,0.039613977,-3.754146
t-u,-5.5319414,1.6237813
pancreatitis,-4.00097,-5.779423
pericarditis/myocarditis,-2.9836912,0.51464474
infaction,-0.07611892,-2.99538
stroke,-0.66858464,-3.3936248
actue,-1.2635859,-2.0963216
flutter/fibrillation,6.0707498,-0.4932619
parasystole,6.6744614,-1.1575222
