term,x,y
micafungin,2.6306696,-13.625722
bactrim,3.0467365,-13.448515
inpatient/outpatient,-4.6299706,0.9918336
h,-0.037567396,0.9581207
lll,1.0120595,6.117317
pht,3.6709452,8.682902
pre-op,-6.8705263,5.733706
dypnea,-4.5398693,3.2435765
amiodarone,-10.284106,-5.880766
decitabine,6.903705,-7.1451535
200/100,-7.9252143,-2.3770711
avastin,4.440003,-5.872041
sevoflurane,-8.743255,-14.680797
ge,10.805496,6.7665052
ecstasy,-3.7850902,-11.141042
sino,10.950472,10.642172
ddi,6.609251,4.7862124
thre,4.42421,-2.2644393
c.o,2.504023,1.9435267
cathechol,8.121747,2.373298
narcan,-4.0298657,-1.68494
100/50,-7.9598837,-1.907253
phenylphrine,-2.0049288,-6.9099164
naloxone,-6.2313614,-12.326608
low-flow/low-gradient,-3.8543193,5.523464
te,9.348117,10.522531
pac,3.588111,12.143516
thel,4.0715475,0.97304416
antracycline-based,5.141492,-5.4010015
norepinephine,0.45033297,-7.1894054
fractio,1.6460108,1.4735512
vasopressin,-0.13838728,-8.021995
nitropaste,-3.1327221,-2.816631
vasopression,0.1787297,-6.520619
statin,-12.325393,-5.877258
evalutate,3.0765872,-0.3426253
apc,5.1924896,12.099984
140,12.300216,1.2733583
benzodiazapine,-0.42061338,-2.7770038
markely,1.8423598,-3.5850878
vasopresin,0.5250118,-5.7851887
82/,2.1981091,4.5603404
doxil,6.3630824,-6.6354895
cisatracurium,-9.600477,-14.212812
bsal,3.7320902,1.8408777
lactate,0.3743876,7.420361
pcn,5.003918,11.380532
progresively,3.050487,0.37624794
levo,-4.532983,-6.334185
dil,7.560046,4.583192
dopamine,1.0836154,-8.631406
norepinphrine,1.422379,-1.3806568
vancomycin,3.1651688,-13.63272
anthracycline-based,-0.8836322,10.807789
iron,-6.2753515,10.450416
trhe,2.1101394,0.85512495
steroid,-2.1052206,-2.240471
pre-radiation,-8.047669,3.6622262
1/99,3.4901886,6.2026463
pentobarbital,-7.29413,-14.416769
mini-maze,-4.9491034,5.487035
albuterol,-8.122761,-10.448554
b-blockade,-3.3070896,0.09838441
cisplatin,8.071497,-7.9895678
benzocaine,-10.921591,-12.945668
hydromorphone,-7.846048,-12.102469
lidocaine,-10.417888,-12.971625
o2,5.5430074,8.314106
pah,4.1663156,8.516415
arsenic,-5.1714907,10.566249
ethenol,8.745234,2.4475613
asa,6.176955,1.9451479
metoprolol,-10.550907,-7.3556514
mildy,-1.4753872,3.652933
dcc,5.303139,12.447578
gentamicin,3.2674673,-13.65193
vf,11.572584,7.981252
midazolam,-8.57786,-12.868467
160/80,-7.5305176,-2.4744337
probalby,3.8117173,1.6582073
amiodaron,-7.139105,-5.9891973
sch,3.1949532,8.243525
7.4,12.4316225,1.2581205
propofol,-8.798504,-13.697785
bso,1.9574842,0.2993258
epinephrin,-1.0033603,-6.4475102
co2,6.312353,7.083741
