term,x,y
traumatic,-9.00029,-5.120109
inflammation/infection,-3.6937962,9.370192
murmur,-2.580281,-11.440281
hit,7.8626547,1.2346905
marantic,-6.7897058,2.6455662
rhabdomyoma,-16.537945,11.060729
cm,8.291166,6.3973064
subvalvular,-13.226719,4.8918138
hypertension,16.2816,-5.734766
hypothroidism,-0.5077219,-0.25982127
gvhd,3.9552672,2.2217693
up,8.694528,-1.6885602
sby,14.298096,3.1238332
underfilling,-4.0138335,-0.7141645
down,8.9058895,-1.8427783
pseudoaneurism,-10.178883,2.9013007
perimyocarditis,-8.078345,-8.790951
hydrothorax,-15.233133,-8.755831
hemothorax,-16.103502,-9.451926
akinetic,-1.2736547,-5.3818393
220/min,1.1714574,-4.5817313
flutter,0.08462768,-9.386731
coarctation,-15.736733,5.960588
hcv,5.4641013,6.814417
turbulence,8.153525,2.5980015
fainting,6.654908,-16.059866
h/o,4.6568575,-6.6190314
stemi,5.4166327,2.0120416
convulsion,2.6306002,-11.938368
neoplastic,4.5158534,14.723966
overdose,1.4199032,-1.0642083
osteosarcoma,6.3651114,16.092587
r/o,1.4868164,3.1308105
hl,12.938653,9.664234
pedunculated,-12.797143,8.040367
sinu,16.683989,7.576156
cough-,5.0167923,0.510823
melena,3.4545987,-18.215694
atheroma,-9.156821,8.20521
necrotic,-5.1448417,-2.1926217
incisor,-2.225452,2.5386214
av-block,0.5448909,-4.4276495
hypermobile,-3.762025,1.2186757
hypertrophy,-2.8011382,-7.0064573
referred,6.8928194,-1.5793121
panic,2.4866073,10.478757
hyperkinetic,-0.5083066,-3.091259
presyncope,7.300813,-16.641607
depression,2.5192628,9.777735
dehisced,-9.755756,-1.7661965
pulm,7.0210724,7.0860634
minimaly,2.228383,5.338364
tachycardia-mediated,-2.844741,-8.814799
normal/borderline,3.7305434,3.8538952
melanoma,5.9171596,15.997923
ra,11.231616,6.5315294
28-mm,-5.198355,2.461027
prostate,5.365385,18.717663
arf,18.720171,3.8622267
carcinoid,2.2588885,17.0971
presyncopal,7.4341416,-17.028332
tg,6.2672462,9.004837
cva,13.313337,1.2215486
dysnea,4.542987,-8.570305
ischemic-type,-7.5714917,4.1375427
ard,15.955935,2.440697
80bpm,4.221399,0.7537812
polycystic-appearing,10.604516,11.91889
dilatation,-12.4695635,2.2406883
arthiritis,-0.8947912,5.2205663
cardioembolic,-6.3551183,-15.815564
cardiogenic,13.276569,-16.084688
scc,4.4462748,4.906807
intra-abdominal,-12.7093935,-3.7298768
nsclc,5.648889,12.620058
perforation,-13.162313,-0.58918804
rcc,5.527682,12.437071
seroma,-11.223411,-2.4732044
spasm,-9.103545,3.8285418
gastritis,-6.141645,15.15704
hemorrhagic,-12.470167,-6.432777
all,6.8282146,2.1560888
diabetes,16.600016,-5.211539
trival,3.675413,0.5052552
non-rheumatic,-5.785065,-6.8203907
echolucent,-10.706664,9.135879
post-cannulation,3.5729685,-0.5617666
s/p,-9.987757,4.4681487
tachycardia-induced,-3.1930454,-9.368244
prolapse,-14.882651,2.1995556
aortitis,-6.1230855,4.834143
lvot,12.498047,-5.371484
minimal-mild,10.601739,13.073286
nsr,15.252746,4.9892287
gerd,-1.9307853,8.18626
hypercarbic,6.4026823,-6.382019
transudative,-19.145647,-8.194415
sma,14.773764,2.2413926
avm,2.2463388,2.1977644
trickle,2.6452417,3.5640132
hyperthyroidism,-4.259514,-4.48649
cardioembolism,-6.3855953,-15.8751545
ich,12.565278,2.1797066
hypertensive,16.798004,-6.1546264
ep,14.293184,9.134102
fibrosi,0.48627734,3.9503503
insufficiency,-2.4558027,-2.2954488
myo/pericarditis,-0.5790201,3.5527985
t3,8.99374,3.818978
vasospasm,-8.653371,-13.333824
esophagoscopy,8.807517,-5.85695
tummy,11.485776,-1.324262
pseudoaneurysm,-16.176268,5.2823205
meningitis,-18.176207,-4.1250625
chylothorax,-15.875271,-8.817474
hypovolemic,13.633507,-15.307466
iddm,6.506237,1.0447557
met,5.8922315,-0.45733353
cardiomypathy,-3.467142,-7.127463
xxx,11.155305,1.6200293
shock,14.069945,-14.691971
hemotoma,-5.1722937,-2.2335982
tamponade,-15.20865,-10.881687
insufficience,-3.2403631,-1.3676274
opacification,-11.926606,14.24414
dyspneic,6.6678863,-8.578099
sca,16.54707,3.7771485
palsy,-1.9790303,0.90373343
sbo,15.607162,2.9424648
p.,9.996121,2.4158866
ald,18.281017,2.0294924
peri-aortic,-7.308029,1.1853564
headache,5.0364127,-14.998694
calcification,-7.7215767,6.413723
tachy,-0.26373854,-7.5654836
orthopnea,7.5139456,-14.161048
myxoma,-16.539623,11.050273
dlbcl,3.291774,4.613638
atn,11.489243,5.3077226
chill,6.9005065,-5.1235547
seizure,2.6357143,-11.917532
bleeding,-12.6737585,-1.5463917
hypoventilation,8.527265,-10.32474
ppm,9.508896,6.1126313
tearing,-7.196738,-2.2935784
vf,12.62278,8.150196
mi,13.2603245,6.611242
pheochromocytoma,1.4543381,15.831139
sepsi,9.273902,1.5127432
post-cardiac,1.3544892,-6.89614
infarction,-5.166613,-13.895686
pneumothorax,-16.637184,-9.384019
hemorrhage,-13.836843,-6.558082
ulcer,-6.5502157,13.943555
asystole,0.7848266,-8.611209
thrombi,-18.799973,2.852882
peritonitis,-17.635525,-3.5387523
sah,10.973979,2.27384
diverticula,-13.571357,-0.275059
cor,-6.3593826,-9.594895
diabetic,17.053831,-5.470265
trauma/surgery,0.73341995,-1.4018629
psuedoaneurysm,-9.249035,2.3169072
hemopneumothorax,-16.648262,-9.397271
aneursym,-10.989693,3.6511722
af,12.720323,8.3537035
ac,7.119573,5.4566646
turbulance,7.645953,2.7847407
ulceration,-6.5602794,13.878107
osteoarthritis,-0.4212858,6.433201
dypsnea,4.551644,-8.0048275
hepatomegaly,-12.249535,-9.890756
paroxysm,2.5250022,-10.272493
throat,5.878187,-12.125456
anasarca,-12.633478,-9.574227
agitation,5.4991946,-3.897012
barrett,-1.9380258,8.560796
agina,0.8750663,-2.6006358
paf,9.287837,0.18815897
varice,-1.792849,13.39247
dah,10.74923,11.626464
inferoposterolateral,-5.299688,-12.452166
effusive,-9.256331,-9.86325
hypothyroidism,-4.1396456,-4.460437
abnormality,-0.1260325,10.364241
gsw,7.873893,4.4962587
tumor,5.245884,15.390375
endarterectomy,-9.836194,6.307731
torsade,-0.6359943,-10.416445
sob,12.474692,1.1723509
coccus,14.01719,-2.0809479
wihtout,3.2549825,2.9665103
effusion,-18.91013,-8.164232
hypothryoidism,4.7813087,2.7304704
pneumomediastinum,-17.364056,-10.270268
cardiotoxic,11.946369,-10.312868
fistula,-12.949066,-0.093789265
aberrancy,14.232827,13.066363
cardiomyopathy/myocarditis,-1.8746568,-0.776643
surgeon,2.4011383,-0.6361656
colon,5.3029294,19.194166
pneumopericardium,-17.209152,-10.173675
tortuosity,9.883145,-4.1524262
papilloma,2.977677,13.924147
etiology,-0.4837172,8.22606
anxiety,2.5123122,10.061027
fall,6.8176484,-0.39831004
fatigue,4.5802784,-14.170628
infarct,-6.049273,-13.250887
ncc,13.320913,3.2428422
pancreatitis,-14.833302,-2.9173472
compairson,4.5423465,2.300717
trabeculated,-12.480115,9.723498
pre-renal,16.138334,-10.693528
asd,17.907848,1.0823524
pph,12.36423,4.662953
mr,12.4,6.47729
stroke,-5.5981894,-13.859858
clinicaly,-3.1062276,0.7100716
ttp,7.9368114,8.152776
anomaly,-0.17143852,10.442442
ht,13.807232,7.7222905
afib,2.1625226,-2.1079607
apnea,8.524785,-10.213689
rescucitated,4.31869,1.3750217
gout,-0.59105355,5.4900665
postcardiotomy,13.093814,-16.457182
hcm,5.0890465,2.1110966
fusobacterium,13.939115,-1.9189668
paralytic,-2.2795734,10.8088045
wegener,-3.6329134,6.713979
soe,10.742191,0.1554998
contusion,-9.365246,-5.134165
minimal/none,4.771238,-0.28719833
ph,9.307406,4.993271
valvulopathy,-5.581026,-7.1618443
htn,5.9868345,0.6601855
peri-annular,-6.3514843,1.1145467
dypnea,4.4598775,-7.3410144
h1n1,4.8129306,6.3781195
eisenmenger,0.21849631,-0.14254361
catheter-associated,-18.897352,-3.0557463
rash,1.9314961,-16.651659
rvh,14.646529,3.9869509
jaundice,-12.317448,-8.969221
erosion,-3.95847,3.1107082
inferior/posterior,-5.3966084,-12.284637
embolism,-19.743515,2.2798884
satiety,3.6675642,5.816418
hemorrhoid,-10.054004,0.4176015
alcoholism,2.531885,9.249218
sternal,-9.069776,-0.98513615
hellp,4.5086503,1.5509318
rap,11.440242,2.8667724
am,11.391268,-1.58202
pain,4.642429,-14.391707
muscular,-2.7023466,4.3837337
empyema,-17.302105,-7.5246587
arrest,1.4867772,7.4885225
glioblastoma,6.43357,16.360355
foal,3.3317316,-1.5713007
dvt,2.0924456,1.2064911
sweat,5.3960657,-1.7990713
chb,16.872723,2.7546587
hypotension,9.859109,-11.713844
diverticulitis,-14.171248,-1.4890819
tachypnic,5.8999476,-6.283642
severel,5.3018985,1.248953
sarcoma,7.2745223,15.329266
aoritc,3.0693834,1.7078047
fever,2.1694865,-15.958406
dyspnea,6.9531856,-13.622182
leak,8.010168,11.555402
regurgitation,-13.481907,4.684895
niddm,6.2842193,1.3822497
herniation,-15.649944,1.4545987
minimal/no,0.98583686,0.49434477
hypoperfusion,-8.520681,-13.266388
desaturation,4.9833612,-5.3841853
lymphoma,7.1810517,14.836445
nonobstructive,-7.55955,10.291548
perivalvular,-7.776915,2.8338811
fibrosa,-7.546422,6.4611473
metablic,4.551575,-1.597155
vomiting,3.915863,-16.959488
porbably,5.3306246,3.408864
gastropathy,-5.542722,14.719496
dehiscence,-10.495789,-2.0192404
echo-dense,-11.921259,8.980444
colitis,-5.083581,11.188562
nhl,4.759209,12.384496
phlegmon,-16.589483,-5.707833
dehydration,5.7511997,-3.0957031
myocarditis,-7.8657436,-8.706469
chf,8.878062,9.639634
aml,6.3158007,10.579214
ischemia/infarction,-4.5316844,-12.519786
hd,10.577745,5.016223
prolapsed,-14.964314,1.9825966
hiatal,-14.268679,-0.17729463
dehiscense,-8.689934,-1.0670836
edema,-7.6793013,-3.6508405
pericarditis,-8.890903,-9.416445
pe,13.609314,8.467683
bileaflet,-13.173828,5.429111
pressor,11.319784,-9.633629
confusion,4.008407,-3.026925
illnes,1.8262157,0.38931224
paget,-3.0330737,7.351121
cardiomyopathy,-4.20145,-8.110415
wide-based,5.2849193,-8.099622
cellulitis,-17.295614,-5.249919
pneumonia,-18.25151,-3.8705661
infection,4.5297713,7.4126773
multiple-myeloma,5.1724944,10.195269
dermatomyositis,-3.9577308,5.3295445
absces,-8.121727,-0.11439642
thymoma,2.2423577,15.7028
purulent,-17.231672,-6.161773
plasmacytoma,2.7606936,15.963852
diarrhea,2.3425553,-15.974775
dizzines,2.6152596,0.14035861
gangrene,10.352833,-7.234659
myxedema,-4.8424106,-4.561304
buckle,-6.551096,-0.78171146
aneurysm,-16.125307,5.3946
asystolic,1.1065277,-8.18383
definte,3.950682,1.7014978
cardiomegaly,-11.794273,-10.659842
e/o,0.27528453,2.6164153
temponade,-5.8180375,0.029962726
ascitis,-12.767252,-9.339713
hiccough,4.739136,-9.82683
toxic/metabolic,-0.6913322,-1.6546996
aneurysma,-11.002169,3.0352423
lvh,15.474759,3.8017309
performation,-10.956784,0.79406023
palpitation,6.7824187,-15.024677
osa,19.24459,3.8911846
hemoperitoneum,-14.544508,-7.355494
echodensity,-11.648343,8.948982
tb,9.642064,7.861721
pericardium,-8.19921,1.7454978
cad,17.443064,2.84895
pseudoaneursym,-9.842541,3.2292457
delirium,3.1987016,-4.8097315
osteomyelitis,-17.513475,-5.0769033
vertigo,5.4237566,-15.765516
hemopericardium,-15.358648,-10.336564
trauma,-8.884502,-5.091973
cleft,-1.3621856,2.4703627
depressed,1.8374819,4.2893033
ileu,11.317793,4.3809514
replacement/,5.6123295,2.987497
borderline-high,1.8542184,5.857575
pericardectomy,-11.04691,4.9447722
rvot,12.498815,-5.372118
av,11.850636,8.728439
nausea,4.0024753,-16.825054
hazy,-11.52924,14.014384
decompensation,-3.3096569,-2.1601007
oliguric,16.135294,-10.70618
thromboembolism,-21.710611,1.5523208
lung,5.3915777,19.458344
vasculitis,-4.345155,6.1098638
hypernephroma,2.2057648,16.220516
fracture,-4.5014577,2.8203022
non-compaction,-2.3951983,-9.741661
dyssynchrony,-1.9813207,-7.6007986
tia,14.903986,0.7770662
ectopy,-1.165924,-9.082508
copd,3.1722052,-6.6753097
stenosi,9.930293,3.3398879
myopathy,-2.807839,4.405441
e.d.,8.520712,5.6115556
emboli,-19.528564,2.4042177
cranio,-1.8736103,2.29047
abces,-1.9499112,13.571674
thromboembolic,-21.73169,1.5372871
insuficiency,-2.370526,-1.8984019
anoxic,7.1953564,4.205963
atherosclerotic,-9.110109,8.273408
angina,-3.9134836,-13.956606
vomit,4.7423944,-10.304754
esophagitis,-6.273942,15.741143
arrhythmia,-0.5538732,-9.151271
obesity,15.972447,-4.8319926
taa,17.075397,5.1158814
stridor,8.021762,-12.495691
avl,16.996576,7.6344624
a-fib,2.7412899,-3.3349023
pcp,16.43483,1.680213
takotsubo,-3.7626853,-9.684805
strep,7.5751615,-3.3994374
valve/aortic,-4.9710183,1.0284747
gastro-esophageal,-6.439133,16.81695
swelling,-7.2272053,-2.8830101
septic,13.746124,-15.142892
wk,7.838166,0.09690312
carditis,-7.434015,-8.005902
cholangitis,-15.131535,-3.0987206
myopericarditis,-8.180863,-8.82389
rupture,-9.693413,1.7667205
hcc,5.855899,5.288358
hematoma,-14.433412,-6.5471787
hepatitis,4.649698,8.046279
inflammation,-4.2300286,9.707586
hypokinetic,-1.0005922,-5.0446343
bronchospasm,9.190486,-11.988211
defib,1.660752,-3.357955
cancer,5.2141757,18.094881
pvd,18.147575,3.387261
endocarditis,-17.411877,-2.175554
syncope,7.0247135,-16.255808
cough,6.6749144,-12.738588
pseudoanerysm,3.4866834,2.200806
supraventricular,0.035599116,-9.656211
endocardititis,2.9293787,1.1556689
emphysema,-5.671721,8.677096
pfo,16.695757,0.0042006075
vpc,5.9046545,2.4949512
opacity,-11.707295,14.12325
midesophageal,-11.266517,0.89555705
febrile,1.814155,-15.425061
tachypneic,6.9120355,-8.534467
cardium,6.5395355,3.8192594
tachycardia-related,-2.6531456,-8.74499
obstruction,-12.779614,1.7839864
tachypnea,7.9485464,-12.750862
wheezing,6.796753,-12.4002695
dyskinetic,-0.96455836,-5.012085
metastasi,4.5982995,3.7445896
severe/near,4.686043,2.0253568
marfan,-1.3668101,0.18063179
coagulopathy,-11.48732,-6.769566
pre-septal,-7.1057625,0.0192855
possiblility,5.171778,4.4540668
cardiopathy,-4.4007893,-7.4687347
sjogren,-3.070026,6.549894
aneurysmal,-16.78268,4.6099863
efusion,0.56251985,1.3759311
stuttering,2.9112706,6.985229
hypotensive,11.446969,-10.163923
arthritis,-0.4533832,6.4351363
effusion/hematoma,1.0849668,1.673597
esp,15.111015,0.27574292
malignancy,3.5450048,14.486987
flail,-12.204642,3.931233
abscess,-16.176823,-5.858446
encephalopathic,0.42743284,-12.62631
adenocarcinoma,4.7225747,17.787525
ascite,-0.24861775,13.183709
sarcoid,-4.3921366,6.748903
hydrop,-0.35651687,1.2143743
akinetic/dyskinetic,-2.1358452,-4.052249
exertional,6.827889,-14.194342
coma,0.7572155,-12.683608
mild/borderline,4.364006,3.0119798
rheumatic,-6.17574,-6.947685
hypetension,1.6821597,2.3679118
gastroesophageal,-6.4501524,16.873272
