term,x,y
pred,-19.098581,17.842602
rimantadine,3.1089833,21.366835
ephedrine,27.126543,-23.531792
lca,-33.22945,2.9135156
translocation-,-29.228645,-1.5803883
desmopressin,23.547642,4.6164403
ooo,-18.860895,13.294344
lido,8.863422,-14.944895
aliskiren,43.246967,-2.7592793
fentanyl/propofol,4.886337,-6.5561204
hcl,-24.327457,-14.625456
glucagon,2.1796756,-19.62752
efavirenz,20.09664,31.509583
isordil,-3.7685466,0.3787045
disposition,-7.226031,6.6337004
ointment,24.150093,11.797357
recemic,-3.4150095,-1.8583902
lidocaine/epinephrine,5.122019,-4.46006
trbc,0.3822009,-12.075334
lipitor,12.731814,0.6287988
ne,-28.189068,22.301952
fibrinogen,-2.141012,-13.558978
iloprost,14.996546,-18.677643
up,-21.704838,-17.396704
gm,4.3349643,11.657498
centrum,-18.282766,-14.870858
vasopressin,5.016524,-20.854889
ranitidine,40.721874,5.2897444
nitropaste,8.246576,-0.11883912
aldactone,14.781142,-0.24456072
ipratroprium,21.786463,-3.5987666
aggrenox,5.9701138,-0.34842825
chlorhexidine,-0.4385239,9.198977
immunosuppressant,16.057816,17.1175
140,-24.757395,-25.799444
xanax,10.088329,-7.4483175
ropirinole,-3.3535173,-3.4200864
moexipril,42.073605,-2.0877872
rad,5.590984,9.19178
lactate,-7.808634,-12.767873
serotonin,7.3466096,-19.99755
dopamin,7.020982,-18.01827
seroquel,18.865465,-9.800062
hydrocortisone,20.121325,10.326135
fen,-18.318792,3.1206388
ceftazadime,6.9508696,25.506664
steroid,13.589309,6.060063
cream,23.996853,12.011246
pentobarbital,22.621855,-26.38112
albuterol,26.343014,-4.129668
tritated,-14.132113,6.418023
q3h,-4.815195,1.0649909
tan,-22.24909,-10.373098
erythromycin,5.9427176,37.78142
o2,-35.25269,3.4693785
fludarabine,21.443619,22.278244
methocarbamol,29.396318,-24.562153
comfortably,-8.957898,-29.016232
cpa,-36.419323,-2.286055
amiodaron,12.560824,-2.4510677
sch,-26.608673,-3.7121375
dacarbazine,23.599953,21.048895
bso,-10.350969,-1.4574964
aao,-27.032133,-3.800729
neupogen,6.045701,2.127506
zantac,-6.7112064,-4.9138026
bisoprolol,40.45091,-6.0255294
plv,-28.975779,13.001061
vit,17.393396,5.442419
stemi,-11.579011,-2.503535
troponin-t,-5.891104,-12.439818
hydrochloroquine,22.662867,8.543929
cyclosporine,17.74036,17.444704
darunavir,20.547161,31.926794
clarithromycin,7.426544,36.10571
vp,-36.118126,14.118995
demerol,17.922913,-12.690368
unasyn,-4.4846973,5.47167
atenolol,40.2632,-6.914025
ntg,-19.58159,2.4874167
loperamide,28.686993,-20.015535
phosphenytoin,15.60522,-8.438212
h9,-30.415028,-3.7152884
poe,-21.571575,-13.081091
hydrocodone,29.285889,-27.732105
dm,-30.092617,10.2476225
