term,x,y
dislocating,-10.06594,22.304358
events-,-7.6267805,-11.628943
collitis,1.8359123,4.228113
hlp,-43.672733,5.9465294
excoriated,41.940693,15.139861
signs-,-24.18405,-6.5385494
melanoma,-22.523432,-24.408129
cary,-19.550297,-8.80029
tcc,-58.636845,-3.8011568
tinea,39.03767,20.12078
18r,-36.415306,-2.695055
stooling,33.839237,-7.1166244
campath,-15.736003,-22.63634
violent,1.5119791,-49.011673
wnl,-33.006775,-20.468475
cmo,-37.774937,-6.2488723
tetraparetic,23.126268,-7.513808
pressor-dependent,2.905197,-13.115549
thirst,31.450033,-17.363989
extremite,-52.742676,-13.075344
lympadenopathy,28.32873,17.599863
soma,-35.09091,-7.9468226
ascite,-10.657069,41.035286
neuromyopathy,17.145737,5.6711645
vf,-42.700718,-19.720879
endocarditis,27.1289,30.696741
pcom,-32.254723,-7.9239526
neuritis,20.969831,6.0934944
linen,-20.713331,8.641346
abcess,20.530739,24.508955
presyncope,29.292738,-22.610716
diabetologist,-19.751688,-36.39669
mineral,-14.673799,-5.614616
mialgia,1.2857351,-3.4465
cararact,-11.933103,-0.12583537
hemiplegic,36.051826,-18.394255
swelling,35.654884,12.5827265
pain/nausea,-4.7032313,-7.149553
granuloma,17.59551,29.167086
dysesthesia,45.966934,-9.729145
tooth,-19.213556,27.286713
diverticulitis,23.021887,36.7389
avl,-44.45355,-2.235708
convulsive,22.267435,-39.118633
allergic,38.4557,27.815083
confusional,14.742962,-41.7276
astrocytoma,-4.465094,51.920086
4-vessel,8.666861,-22.425987
fever/,3.4970953,-2.1865227
tea-colored,32.55064,-10.159565
nonadherence,-4.821845,-34.899055
apathy,6.9996886,-47.634396
compensated,-12.333075,-10.29811
stuttering,6.559217,-32.6328
ostemyelitis,8.080813,13.151245
prostrate,-28.509413,6.150072
toenail,-7.584863,12.849982
nonthrobbing,32.080032,0.5837387
hypokinesia,16.918262,-19.87785
9l,-31.069422,-1.9327493
blink,4.7694626,-20.066854
vap,-51.02983,7.186741
occassional,-13.416494,2.8847444
post-seizure,6.674741,-18.324663
hyperlipidema,-9.134666,-25.259893
cold-like,40.560505,-4.6826468
anuric,13.288585,-11.6973505
passive-aggressive,3.5680962,-45.297997
asystolic,24.012917,-24.346256
a/,-44.353832,-19.69163
ear,-19.710033,32.441998
sd,-32.393566,-21.644394
stricturing,21.405693,37.848896
torsion,1.2225991,17.64603
contusion/hematoma,0.7155268,12.4630165
pitting,39.04039,13.362964
parestesia,29.867577,-10.055304
labored,46.892227,-21.478241
tih,-21.513937,-6.9139075
cholecysitis,6.2452583,7.128708
inconsolably,-15.879119,8.72063
dsypnea,30.216915,-5.001279
para-influenza,-31.07585,21.820917
choking,43.81262,-2.1368256
pressor,3.945724,-22.938627
labium,-17.495144,35.114372
cardiomyopahty,15.083778,-20.556627
down,-22.924826,-12.635329
hyperactivity,1.3834946,-39.406307
smoke,-22.930204,9.069476
