term,x,y
b-cell,-17.713491,12.557134
events-,-6.6916194,-2.9097545
leukocytoclastic,40.97773,28.101652
collitis,23.264547,22.486801
hlp,-43.812943,-32.656517
excoriated,31.387682,-34.664772
difficult-to-treat,-27.96019,48.674446
melanoma,-23.53547,20.991364
colestatic,-18.401375,-4.194875
cary,-16.738152,-20.286804
tcc,-58.169582,-27.111261
mcd,-36.50383,-13.017351
parotitis,46.775024,15.86488
tinea,28.22414,-41.2282
subarchnoid,28.491306,10.341425
campath,-14.490621,12.87316
violent,-35.33411,38.745636
wnl,-37.67603,-5.1725454
cmo,-34.758568,-20.160229
leiomyosarcoma,-0.5415497,55.369564
tetraparetic,21.94563,-22.340364
pacer,-5.225055,-14.71409
typhilitis,29.619894,22.889593
pressor-dependent,-0.08064026,-2.7803578
retinitis,56.25653,11.784192
thirst,-6.158334,-42.437157
extremite,-32.786686,-33.59936
torch,-16.583057,-20.880146
lympadenopathy,35.110622,-4.654841
soma,-22.813374,-17.214766
ascite,-22.160048,11.162411
neuromyopathy,10.051118,31.135345
vf,-47.883205,-11.137359
endocarditis,45.813442,18.315912
pcom,-31.066748,-16.688541
purpura-like,14.2758,20.59269
neuritis,12.078711,33.045437
abcess,37.778313,6.99595
presyncope,26.725485,47.488598
diabetologist,-6.907411,-27.484749
adenocarcionoma,-23.347374,10.979156
abscess/fistula,12.846142,-1.9349405
hemiplegic,48.391716,-9.465502
swelling,27.966736,-30.83272
pain/nausea,6.5186725,-12.855089
granuloma,37.746128,4.8986483
gdm,-35.779037,-9.770091
melon,-21.698526,-33.607513
dysesthesia,40.406807,-26.66854
microcephaly,-18.880049,24.309332
tooth,7.4188857,-35.263153
diverticulitis,32.043198,21.618431
avl,-39.30657,-28.44144
troponin-t,-23.925272,-3.3830545
nonwitnessed,-8.6511545,-12.250034
fection,-32.72865,5.6101418
convulsive,17.360249,32.18336
pterygium,-0.19195627,-42.51022
allergic,37.27701,-46.66915
confusional,-4.6812153,35.15017
astrocytoma,-2.6889513,60.370255
4-vessel,18.280243,15.032725
fever/,-4.7902603,15.727491
ischemia/reperfusion,7.3058805,5.0786037
tea-colored,30.454704,-19.679476
nonadherence,-14.617913,10.203558
drug-induced,-7.682821,12.131578
pulmonale,40.231915,38.76194
usualy,-4.386441,1.3012159
compensated,-15.002007,-12.594768
stuttering,-25.350008,34.920097
ostemyelitis,9.27074,14.107494
lymphangitic,43.059624,14.211594
toenail,2.2317727,-8.280996
synovitis,55.08399,2.428977
nonthrobbing,16.211658,-19.95181
supraglottitis,46.015434,11.704158
pericapsular,33.78169,-2.8306305
hemo-pneumothorax,27.584738,6.2759056
blink,13.49079,-24.85795
cardiovascular,19.591059,27.29283
svd,-45.080994,-14.205942
vap,-50.322266,-32.28233
1+/1,-20.197754,11.61329
post-seizure,-1.9539815,-15.328769
hyperlipidema,-16.843697,3.7287333
cold-like,31.435799,-16.592646
anuric,-11.212349,34.285324
asystolic,21.562504,47.344177
peumonitis,-4.33551,13.505924
a/,-49.393135,-13.451991
headshake,13.205774,-24.660511
tld,-50.16803,-25.043533
flail,35.733604,1.5800623
ear,15.835073,-28.837194
chemotherapy-induced,-7.2973104,13.401564
sd,-38.003727,-6.236998
stricturing,29.709799,20.822367
torsion,16.495634,-1.3906412
pitting,30.957644,-31.94578
ischemia,18.906727,15.79827
malignany,-17.057388,9.36785
stupor,52.822277,-14.180299
sepsis/shock,-5.061943,19.910753
insulin-dependant,-10.993571,25.343176
acontractile,21.233131,-26.14432
labored,61.732883,15.273648
episodes-,-18.765053,-8.902945
0104,-46.134197,-1.8659083
adiposity,-12.82171,-36.653683
cholecysitis,7.882091,12.169379
dsypnea,14.907284,-12.426453
para-influenza,-35.646675,13.934776
choking,40.875343,-19.266287
pressor,-0.5037491,-5.726822
obstuction,-14.83597,-3.847954
gastrointestinal,18.44415,2.9529724
q21,-36.637074,-0.64255726
down,-16.660986,-23.498167
hyperactivity,-23.188309,39.85225
bact,-45.403004,0.7148826
carcinoid,-2.9879498,51.561516
non-cardiac,15.869656,42.2734
depressive,-30.06709,43.425014
purulent,42.427265,11.24943
sbo,-46.994865,-30.620935
epiglottitis,46.38562,11.590331
ciu,-43.344994,-27.778795
subluxation,14.3153,-46.898567
leukencephalopathy,12.638768,22.63436
shoulder/neck,36.40945,-24.542488
myxoma,5.772533,55.044285
50-pound,-11.185109,-11.098678
unilaterality,22.772911,-18.673056
om,-45.57718,-17.423944
diplococcus,-50.280197,5.599742
microhemorrhage,5.4214587,3.7532213
