term,x,y
adl,-14.8672285,-1.7355769
ribavirin,16.624498,21.506847
utensil,-14.01411,-12.346689
desmopressin,15.31287,-19.530111
paricalcitol,10.465155,-19.000488
clt,-22.99636,14.781842
ki,-32.743862,-5.8621655
hcl,-23.65496,8.153948
glucagon,0.10635312,-22.989542
efavirenz,17.558788,24.167776
piperacillin,4.082684,35.180107
lipitor,10.340956,-6.9174995
ne,-29.61603,-13.527863
touch-,-5.704291,-0.37019366
gm,-0.88767534,6.5747285
spica,-18.864685,-16.89687
vasopressin,3.4473941,-21.019016
ranitidine,24.287865,-3.275698
3x/day,18.673689,3.4575474
aldactone,17.823946,-18.555363
primidone,36.45926,2.870669
aggrenox,-3.58695,0.34984764
chlorhexidine,-5.3147182,15.251789
thr-,-21.026327,8.27284
promethazine,33.831192,-8.565509
140,-8.868565,7.0340753
xanax,5.519601,-1.5417626
aminophyline,3.6573012,-6.313171
lactate,-2.877911,-23.761242
seroquel,32.802624,-1.9673088
hydrocortisone,11.176769,5.917673
mcg/ml,1.4718243,22.009663
ceftazadime,0.73979336,21.366104
steroid,6.1911054,5.9071794
cream,-4.6700635,17.431583
albuterol,26.646303,-7.0337977
q3h,-7.4345255,1.2290993
neop,-21.85827,0.1967294
erythromycin,1.0639584,31.83105
o2,-26.233896,3.850366
aline,-12.302245,3.383327
lml,-15.896564,0.29607195
cpa,-24.32695,17.64163
metroprolol,13.254937,-7.5118003
bso,-8.549937,1.1579895
pda,-14.196802,16.407688
zantac,-6.6353965,0.23366544
plv,-26.941662,-5.666774
vit,6.1296906,18.748411
stemi,-11.00356,-1.6499583
tolcapone,30.397038,0.23194285
darunavir,18.008968,25.105703
clarithromycin,3.4491887,30.639347
vp,-30.589218,-4.1788955
unasyn,-4.7947,3.4897668
atenolol,25.041714,-18.334358
flucanazole,-12.383048,11.485581
ntg,-31.24727,6.8847256
pva,-23.80932,10.339825
loperamide,31.800167,-9.774923
phosphenytoin,8.987861,-2.2066147
poe,-23.487528,-8.555968
hydrocodone,38.584965,-9.926812
dm,-21.923275,-2.419872
oxazepam,36.08238,-6.3950696
chol,-1.9827664,14.681552
dos,-27.593775,-13.850516
cough-,-11.468745,-5.667543
simvastatin,20.154615,-11.935424
timolol,27.682304,-12.383595
linezolid,0.49596035,34.096478
fluoxetine,39.76891,-3.5948193
tbd,-10.407236,-0.6433729
syrup,3.453405,7.60639
argatroban,13.507661,-10.720865
speech/voice,-8.072512,-6.6872716
dvd,-14.918865,-4.6209893
cousin,-8.839822,-18.774359
jp,-29.48904,8.040454
1x/day,17.888042,3.3629122
helium,-4.107962,-18.59055
splenium,-13.579318,-21.522839
vol,-6.204084,10.995041
bisacodyl,8.881583,-10.18558
cpt,-15.641588,8.051402
etomidate,36.40933,-14.075722
wfl,-11.275954,-0.6811097
latanoprost,27.665833,-12.310157
diltiazem,25.442165,-21.644205
temozolomide,17.379488,14.204239
3708,2.4737146,-0.44196126
ezetimibe,20.222944,-13.333097
tamiflu,-6.906063,20.668304
depomedrol,12.396333,2.847761
3x/week,16.796398,5.0762672
dnr,-8.621458,-9.244967
nafcillin,1.5233916,36.44058
3-,-4.200718,6.36014
pulm,-18.596111,-6.0831904
caspofungin,-2.9196198,28.849337
hydralizine,-5.913452,6.150271
metoclopramide,32.711327,-10.047104
gluconate,2.190025,13.199543
humalog,2.2948773,-4.4719024
atrovastatin,11.305456,-7.59142
sat,-12.4608965,-11.23253
antibotic,-4.1810966,4.7480416
om,-23.497452,-1.232399
relat,-6.9200883,-2.8418925
campath,8.938222,10.754706
lactose,2.1688893,7.8099337
ra,-32.36012,2.7821321
mt,-15.860846,21.389482
radioiodine,-0.14470297,10.52074
bicarb,-3.9021072,-4.9097085
rifaximin,3.3967366,28.540375
bevacizumab,17.723877,15.502037
ag,-23.76529,5.081005
pravastatin,20.018877,-12.506499
tpa,-14.745109,16.196606
meclizine,33.477444,-7.7078204
levaquin,-5.098338,4.2719483
levothyroxin,9.299631,-14.436472
w/,-24.28729,2.6266944
iodine,0.24568543,11.425827
ftn,-25.880013,13.653336
atorvastatin,20.140686,-12.552548
th,-28.297703,-3.1940217
w.,18.426739,0.83690363
diazapam,-2.88316,-1.2805405
methylprenisolone,8.32041,10.035538
ett,-26.875208,9.79386
atropine,33.526707,-18.051985
9119,2.2165475,-0.49298218
cva,-18.648329,8.985604
doxercalciferol,10.082412,-19.088081
dilantin,10.712859,0.7584781
dexamethasone,11.397698,6.0193405
dobutamine,29.858751,-21.395327
clopidogrel,17.679285,-8.717568
torsemide,20.147963,-21.219648
part-time,-8.282151,-12.40015
hydrocortison,4.5932336,4.6399503
ethanol,-5.5289636,10.5077305
vomitted,-5.3374734,-4.2991304
amidarone,-4.2520094,-1.2645994
dz,-33.29399,-1.2642725
ga,-24.93043,-0.42236638
d/o,-11.11609,3.148294
scopolamine,34.51364,-18.360756
doses/day,17.112167,2.617346
alprazolam,37.20302,-5.541337
amnio,-12.289998,5.3650203
be,-12.317922,-3.6252074
phenylephrine,32.318474,-20.468542
quetiapine,42.65691,-1.6967255
trileptal,9.174745,1.1470892
frequency/duration,-7.176608,-7.2312074
prozac,8.806951,-4.39345
propranolol,26.886282,-18.952007
lanthanum,3.7948601,11.337109
sof,-23.02068,13.2367735
tbm,-20.166567,9.884007
heparin,12.233336,-11.430379
sfa,-25.552032,17.621231
lamividine,11.536457,10.32296
carbamazepine,36.31011,1.994022
nst,-21.346937,3.1652546
leucovorin,19.25399,14.046809
cc,-1.0649717,7.027693
cetuximab,17.5432,14.991423
pipercillin,-7.171397,3.114044
ciproflaxacin,-0.12374438,21.188988
nsclc,13.633102,13.146708
trazodone,37.95386,-3.5268443
metropolol,12.261705,-6.9469285
1-2x/week,-8.1632395,-2.4825315
neo-adjuvant,14.615595,16.680876
migraine,7.519343,2.5890617
mgr,16.715418,1.3330618
no,-10.941501,2.2408776
varapamil,-2.096725,-2.7432075
5-fu,15.976865,12.968407
non-labored,-8.723292,-3.5619724
quinidine,22.955645,-23.23757
asx,-17.14619,4.256351
nif,-27.010456,14.73398
cyclobenzaprine,35.754883,-4.725986
rph,-24.196262,14.657792
clonazepam,36.88933,-5.556489
gpc,-16.314796,4.1252246
leviteracetam,8.093762,-1.1057439
cholesterol,-1.9801497,14.67584
sertaline,7.311484,-3.6355317
azithromycin,2.9794922,29.948921
troponin,-5.2485876,-6.8374243
albuterol-ipratropium,-7.2010455,-0.7554198
2x/day,19.23467,3.8190243
70,-8.9034,6.670444
ldr,-23.073069,15.648132
polysporin,-2.0907304,17.723276
dme,-26.136864,9.99765
anxious/agitated,-7.434414,-2.2305615
mesalamine,21.38006,-2.9439595
q48h,18.094372,2.004093
amikacin,2.3390908,33.980034
few,-14.074661,-3.4207938
cocaine,0.8954888,-13.81139
potassium,3.412533,13.134742
gloved,-13.569875,-13.418932
doxepin,37.69819,-4.105736
peep,-5.5340896,-11.924175
fh,-26.797771,2.4827936
atv,-24.795824,8.337287
ipratropium,27.148928,-8.028627
digoxin,21.71853,-22.836218
hdr,-25.699226,12.246115
benzodiazepine,38.974335,-7.2882023
ep,-28.576159,-0.40334067
velcade,13.887868,11.456215
v.o,-1.4385936,2.3430476
t3,-24.195902,-5.22886
donned,-13.07933,-12.170477
tiotropium,26.369848,-7.9438834
lamotrigine,37.460968,1.033673
lidocane,-6.1156793,-1.060487
phosphate,1.2541244,15.021957
lle,-19.530342,6.434204
mobilty,-12.452982,0.4410487
sodium,3.3723717,13.865103
ble,-22.322947,16.339882
methodone,-8.094726,-5.109323
bronchoplasty,-3.8243697,-9.471999
aox3,-27.749104,6.3286724
contin,7.704121,-5.6142426
chemoradiation,14.956368,16.598568
sulfate,3.6264477,14.542022
tramodol,-1.5106018,0.1480626
dpt,-19.24944,-3.817024
mmc,-21.850874,1.262254
ica,-27.25136,16.11469
h,-6.162739,2.359231
pregabalin,37.54906,-1.0509374
phenobarbital,35.248386,3.019633
lorazapam,6.971424,0.119137906
citrate,1.2655332,15.012978
amiodarone,22.086645,-24.390852
ss,-23.361958,-12.878303
mirtazipine,-0.34712383,-0.9481382
doxycycline,2.02745,27.365961
doxazosin,25.83257,-15.564283
narcan,-4.9052606,-12.340818
hydroxyurea,15.741494,10.975389
phenylphrine,2.2104456,-7.28357
naloxone,34.486732,-17.649082
cinacalcet,10.824459,-19.167385
cap,-13.860685,1.2654903
atenelol,-3.986268,-3.3027122
senna,6.4860206,-11.084611
lidoderm,-8.0201435,-1.548772
heroine,1.8878596,-13.273578
glipizide,17.423523,-14.540759
clofarabine,16.834974,12.577412
hydroxychloroquine,19.970049,10.580177
in-line,-6.214115,-8.7276125
gtc,-32.92687,11.96215
1x/wk,15.804715,3.8832245
rn,-32.775684,-2.9380422
tobramycin,1.9716226,33.625645
cefipime,0.42902455,25.62077
atn,-20.252077,4.9139442
cosyntropin,10.12527,5.943592
sp,-14.497167,11.721311
ciproflaxin,-0.9336078,19.243505
omeprazole,23.82604,-2.1836853
5fu,15.213995,12.744974
enalapril,22.72647,-17.224842
ramipril,22.623913,-16.814756
lidocaine,34.219967,-13.901528
finasteride,14.059444,-15.190848
ppm,-16.884544,6.8828835
glyburide,17.440561,-14.534136
prednisone,18.92272,10.532007
vf,-30.88953,-1.2536635
lollipop,7.6906753,-7.280711
prandial,0.3380895,-23.07154
propofol,36.253258,-13.841334
pin,-18.510569,-15.376602
ursodiol,17.789568,-1.9663184
fondaparinux,14.179385,-10.4781275
sildenafil,22.305395,-19.143456
atorvastain,1.345437,-3.5335188
x/day,16.62758,2.7068868
barium,4.892156,-15.3560095
valium,12.39432,-4.847014
treament,-2.527841,5.229576
glucose,-0.23916812,-23.092903
blue,-9.4967375,14.813303
hydroxyzine,34.20514,-8.363056
ste,-24.62313,15.029575
dofetilide,22.744038,-25.651003
diazepam,36.188038,-8.129879
furosemide,19.568111,-20.406769
chemo,13.118138,14.624692
rantidine,14.884666,-2.0875032
chlorothiazide,19.655117,-20.270714
dilaudid,11.787937,-3.6613219
flagyl,1.3850704,24.55466
4-6x,-14.868686,4.350119
droperidol,34.378555,-11.618751
trop,-28.975996,-13.289306
paroxetine,39.789555,-2.844268
fole,-9.009453,0.34041515
granddaughter,-9.316949,-18.30654
creatine,-3.5036018,-23.762144
ac,-16.181192,-3.1523411
ziprasidone,43.096813,-2.1880906
atazanavir,18.401651,25.104837
dtr,-28.350338,8.004428
mca,-30.305115,3.8386211
cea,-21.477772,14.386962
allopurinol,19.9561,-8.969967
bromide,-6.9351506,14.854662
irinotecan,18.335026,14.077439
ibuprofen,21.523512,-5.9207454
hydrazine,-13.193071,16.99934
nitroglycerine,29.46112,-22.755161
rosuvastatin,20.118746,-12.782959
ropinirole,35.464375,-2.4485233
v/q,-20.94218,-6.5089173
lasix,18.27111,-19.05359
shd,-27.313463,9.340986
cga,-32.926018,11.962265
cortisone,7.436783,5.5793242
mec,-27.28626,17.264397
predisone,13.936223,10.647263
hydromorphine,-4.51858,-2.6434836
olanzipine,6.122637,-2.0234902
occ,-23.086832,3.7835932
colistin,1.1055932,33.312916
2.5/10,14.517671,2.5338604
ativan,10.662647,-3.26183
ad,-0.13277148,-9.098747
fexofenadine,32.068073,-7.664109
singl,-13.046355,-5.072186
nevirapine,17.348978,23.658106
vac,-20.37902,5.370225
inslulin,-9.410865,-0.6930135
levodopa,29.557539,0.31115246
tib,-21.197355,6.826955
steriod,6.215344,5.722929
ondansetron,33.195335,-10.427127
quadruple,-16.347572,10.519591
flexin,4.951984,2.0272856
valganciclovir,12.380684,20.93799
propfol,-7.6454897,-3.9260097
tamsulosin,26.32234,-15.147884
paf,-0.7506094,-6.540643
acl,-21.646746,9.054627
pyruvate,-2.8366153,-23.78824
sertraline,39.900272,-2.5237498
acetaminophen,21.352581,-5.7986536
clondine,1.0604757,-6.0867457
allupurinol,-3.5476525,3.2224586
nimodipine,26.045334,-22.368786
lamivudine,17.019627,22.85561
patella,-17.914026,-18.660995
ng,-1.590202,8.424414
160/40,13.748625,1.3468413
trazadone,33.251724,-2.356321
ionotrope,-6.327863,-2.012666
continu,-28.437336,-12.834749
ritalin,10.948884,-1.4769943
gsw,-19.601662,-6.022519
2x/week,15.157813,4.394052
hydrochlorothiazide,24.24644,-16.890762
pna,-15.665347,2.6960459
torsade,22.65881,-26.489824
