term,x,y
ca,-3.4650433,-3.5309687
blue,4.075459,-2.726472
opa,11.222735,-2.4637208
noc,9.645811,-3.2167437
neon,2.94316,-3.705282
9148,-4.935033,2.0891814
terbutaline,-5.111548,9.336683
titrated,1.0802342,7.461064
diltiazem,-4.700691,7.8585463
cva,5.6254983,-2.1972654
pattern1,6.694577,-3.5441334
pand,3.8505108,0.18970793
methamphetamine,-7.7079873,-6.217813
bradicardic,-1.0955626,1.0842445
tachypneic,-4.6041193,-0.018112531
"2,5",3.3174663,0.7630463
xylocaine,-7.436299,7.235985
be,1.0026113,-3.2638001
tpp,10.730856,-3.2649772
120-140,4.5090017,8.9247055
gpc,4.4968786,-1.279966
30bpm,2.10037,-1.2472045
midazolam,-8.517866,7.625809
og,5.0289893,-3.3022137
vol,-0.8082934,-6.823205
ambu,-5.4856515,-1.3658522
pep,7.1925545,-2.7689092
exh,1.6795852,-1.7477294
vc,6.699889,-7.8026614
hd,9.086889,2.195983
tbm,5.2818656,-2.3381524
dz,8.37261,-10.066087
desature,5.632191,-0.705433
nrm,2.2495184,-1.9802539
wnl,0.93383247,-7.3410563
24cm,3.2630568,-7.435232
nebulized,-4.370729,10.013302
lactate/,4.352555,1.4357053
atra,3.7600517,-1.4378868
cmo,7.447323,-3.4648542
peep,-3.4652557,-1.5224727
abg,7.448427,-1.5990521
tpa,6.6385827,-0.18283665
loose,0.89017564,-3.9290886
tobramycin,-11.94078,0.16764204
alcohol,-7.410903,-7.186418
desaturated,7.279737,2.3996835
dp,4.2750216,-6.634308
a/c,8.391025,-3.8637738
tylenol,-3.9823246,4.8581553
car,-2.168604,-1.2352078
levalbuterol,-4.424888,10.3534355
difficul,1.327804,-2.4403408
neb,10.883561,-6.114189
h2o,4.033591,-1.8194871
resp,0.9569636,2.0515025
25cm,3.347787,-9.48995
air,-6.407776,-3.598618
do,-0.31081492,-4.84401
no,5.500034,2.5507638
coumadin,-2.9712543,3.7220304
tonight,-3.5958323,-2.0251448
troponin,-1.0837467,-0.3250233
oa,4.464166,-4.8687315
pad,1.6439444,-5.6000304
meq/l,3.55262,3.9688091
will,-0.2056862,-4.616996
reasonably,0.14413708,-3.5732863
cocaine,-7.663116,-6.284995
trie,6.307628,-4.3003387
gsw,3.5103223,-3.3659317
ptp,10.375663,-1.8566927
ps,3.536502,-6.9826207
fluro,7.5077696,4.2244315
q3h,1.3878982,-0.43003145
refuse,-0.017410116,6.1691155
pentamadine,0.24166003,-1.260743
nmb,8.142858,-2.3721771
e.d,2.7106678,-1.5764579
sodium,6.7512007,6.965587
vt,6.9157124,-9.001725
8-,1.984515,0.0955845
copd,-3.1831596,0.56681836
lactate,5.3664155,4.354421
spiriva,1.1494502,-1.2012404
demerol,-6.6340585,5.1812997
nif,11.368915,-1.1602601
